Reaction ID,Objective Value
R00004,19.607843137254886
R00005,21.947873799725624
R00006,21.947873799725627
R00009,21.947873799725652
R00013,21.947873799725652
R00022,21.947873799725652
R00025,21.947873799725652
R00028,21.947873799725652
R00036,21.947873799725652
R00066,21.947873799725652
R00069,21.947873799725652
R00084,21.947873799725652
R00089,21.947873799725652
R00093,21.947873799725652
R00094,21.947873799725652
R00103,21.947873799725652
R00104,21.947873799725652
R00106,21.947873799725652
R00111,21.947873799725652
R00112,21.66181700614285
R00114,21.947873799725617
R00115,21.94787379972565
R00118,21.94787379972565
R00130,-4.852800736657326e-14
R00131,21.947873799725606
R00132,21.94787379972561
R00137,21.94787379972561
R00139,21.94787379972561
R00161,21.94787379972561
R00177,-7.741573726008758e-14
R00178,21.947873799725638
R00189,21.94787379972565
R00192,5.4737645630289395e-15
R00217,21.947873799725368
R00220,21.947873799725613
R00253,21.947873799725613
R00254,21.947873799725613
R00257,21.947873799725613
R00264,21.947873799725613
R00272,21.947873799725613
R00275,21.947873799725613
R00277,21.947873799725613
R00278,21.947873799725613
R00286,21.947873799725613
R00306,21.947873799725613
R00310,21.947873799725613
R00321,21.947873799725613
R00335,21.947873799725613
R00354,21.947873799725613
R00357,21.947873799725613
R00366,21.947873799725613
R00371,21.947873799725613
R00372,21.947873799725606
R00418,21.947873799725635
R00424,21.947873799725635
R00425,21.947873799725635
R00428,21.947873799725635
R00429,21.947873799725635
R00434,21.947873799725635
R00457,21.947873799725635
R00470,21.947873799725635
R00471,21.947873799725635
R00475,21.947873799725635
R00481,21.947873799725635
R00489,3.1901438052617844e-14
R00490,21.947873799725787
R00491,21.94787379972559
R00494,21.94787379972559
R00505,21.94787379972559
R00513,21.94787379972559
R00516,21.94787379972559
R00517,21.94787379972559
R00519,21.94787379972559
R00524,21.94787379972559
R00549,21.94787379972559
R00551,21.94787379972559
R00552,21.94787379972559
R00557,21.94787379972559
R00558,21.94787379972559
R00565,21.94787379972559
R00602,21.94787379972559
R00610,21.94787379972559
R00647,21.94787379972559
R00654,21.94787379972559
R00668,21.94787379972559
R00670,21.94787379972559
R00673,21.94787379972559
R00678,21.94787379972559
R00685,21.94787379972559
R00691,21.94787379972559
R00698,21.94787379972559
R00699,21.94787379972559
R00705,21.94787379972559
R00713,21.947873799725592
R00715,21.947873799725592
R00720,21.947873799725592
R00722,21.947873799725592
R00724,21.947873799725592
R00736,21.947873799725592
R00754,21.48204404903986
R00760,21.94787379972562
R00765,21.947873799725617
R00772,21.947873799725617
R00782,21.947873799725617
R00787,21.947873799725617
R00789,21.947873799725617
R00794,21.947873799725617
R00801,21.947873799725617
R00817,21.947873799725617
R00818,21.947873799725617
R00829,21.947873799725617
R00833,21.947873799725617
R00836,21.947873799725617
R00839,21.947873799725617
R00847,21.947873799725617
