,ids,growth,status
0,{'C-NZ_AEYC01000092.1:63751..66270'},21.947873799725638,optimal
1,{'C-NZ_AEYC01000005.1:47902..49599'},21.947873799725638,optimal
2,{'pyrC'},21.947873799725638,optimal
3,{'C-NZ_AEYC01000018.1:277368..280196'},21.947873799725638,optimal
4,{'C-NZ_AEYC01000070.1:111553..112587'},21.947873799725638,optimal
5,{'NZ_AEYC01000088.1:341279..342058'},21.947873799725638,optimal
6,{'C-NZ_AEYC01000034.1:122048..123175'},21.947873799725638,optimal
7,{'purH'},21.947873799725638,optimal
8,{'C-NZ_AEYC01000008.1:35582..36982'},21.947873799725638,optimal
9,{'C-NZ_AEYC01000066.1:38264..38869'},21.947873799725638,optimal
10,{'C-NZ_AEYC01000029.1:108522..109523'},21.947873799725638,optimal
11,{'NZ_AEYC01000072.1:3977..5791'},21.947873799725638,optimal
12,{'NZ_AEYC01000004.1:143818..145395'},21.947873799725638,optimal
13,{'C-NZ_AEYC01000089.1:24584..25372'},21.947873799725638,optimal
14,{'NZ_AEYC01000001.1:283645..285390'},21.947873799725638,optimal
15,{'argC'},21.947873799725638,optimal
16,{'C-NZ_AEYC01000070.1:106330..107616'},21.947873799725638,optimal
17,{'NZ_AEYC01000048.1:28963..31059'},21.947873799725638,optimal
18,{'gatB'},21.947873799725638,optimal
19,{'C-NZ_AEYC01000039.1:37575..38693'},21.947873799725638,optimal
20,{'C-NZ_AEYC01000070.1:85806..87239'},21.947873799725638,optimal
21,{'NZ_AEYC01000001.1:36766..38325'},21.947873799725638,optimal
22,{'pyrG'},21.947873799725638,optimal
23,{'NZ_AEYC01000020.1:120671..121747'},21.947873799725638,optimal
24,{'C-NZ_AEYC01000001.1:440887..441744'},21.947873799725638,optimal
25,{'gabD'},21.94787379972562,optimal
26,{'NZ_AEYC01000076.1:65779..66582'},21.947873799725635,optimal
27,{'C-NZ_AEYC01000001.1:280402..282246'},21.947873799725635,optimal
28,{'NZ_AEYC01000001.1:420064..421308'},21.947873799725635,optimal
29,{'C-NZ_AEYC01000001.1:434650..436047'},21.947873799725635,optimal
30,{'C-NZ_AEYC01000008.1:1427..2194'},21.947873799725635,optimal
31,{'NZ_AEYC01000024.1:15651..16055'},21.947873799725635,optimal
32,{'NZ_AEYC01000023.1:387819..389669'},21.947873799725635,optimal
33,{'SAM-s'},7.310639370886581e-15,optimal
34,{'C-NZ_AEYC01000023.1:340533..340802'},21.947873799725652,optimal
35,{'guaA'},21.94787379972566,optimal
36,{'ruvB'},21.94787379972566,optimal
37,{'NZ_AEYC01000002.1:5979..6593'},21.94787379972566,optimal
38,{'coaE'},1.0960135798525711e-14,optimal
39,{'C-NZ_AEYC01000076.1:7205..8122'},21.947873799725638,optimal
40,{'C-NZ_AEYC01000092.1:70521..71195'},21.947873799725645,optimal
41,{'NZ_AEYC01000030.1:34769..35542'},21.947873799725645,optimal
42,{'C-NZ_AEYC01000072.1:37204..38487'},21.947873799725645,optimal
43,{'glyA'},21.53024911032021,optimal
44,{'C-NZ_AEYC01000084.1:109034..109960'},21.947873799725635,optimal
45,{'NZ_AEYC01000029.1:25358..26257'},21.947873799725635,optimal
46,{'NZ_AEYC01000066.1:96373..98328'},21.947873799725635,optimal
47,{'ispH'},21.947873799725635,optimal
48,{'panC'},-1.2070516308977978e-14,optimal
49,{'NZ_AEYC01000023.1:149313..150452'},21.947873799725635,optimal
50,{'NZ_AEYC01000023.1:78792..79892'},21.94787379972561,optimal
51,{'NZ_AEYC01000007.1:108023..108523'},21.94787379972561,optimal
52,{'NZ_AEYC01000001.1:42651..43808'},21.94787379972561,optimal
53,{'C-NZ_AEYC01000088.1:106778..107956'},21.94787379972561,optimal
54,{'NZ_AEYC01000092.1:39551..40780'},21.94787379972561,optimal
55,{'NZ_AEYC01000001.1:160937..162241'},21.947873799725635,optimal
56,{'NZ_AEYC01000019.1:240459..241394'},-4.820079381378559e-14,optimal
57,{'C-NZ_AEYC01000019.1:207777..208541'},21.94787379972553,optimal
58,{'NZ_AEYC01000088.1:411799..412812'},21.94787379972567,optimal
59,{'NZ_AEYC01000023.1:282670..282888'},21.94787379972567,optimal
60,{'C-NZ_AEYC01000096.1:62303..63268'},21.94787379972567,optimal
61,{'C-NZ_AEYC01000034.1:88573..89547'},21.94787379972567,optimal
62,{'C-NZ_AEYC01000063.1:52014..53474'},21.94787379972567,optimal
63,{'NZ_AEYC01000088.1:82436..84091'},21.94787379972567,optimal
64,{'NZ_AEYC01000096.1:74697..76004'},21.94787379972567,optimal
65,{'C-NZ_AEYC01000048.1:64695..65375'},21.94787379972567,optimal
66,{'NZ_AEYC01000023.1:146982..148055'},21.94787379972561,optimal
67,{'NZ_AEYC01000006.1:19712..22606'},21.94787379972561,optimal
68,{'cobN'},21.94787379972561,optimal
69,{'C-NZ_AEYC01000095.1:54758..55888'},21.94787379972561,optimal
70,{'C-NZ_AEYC01000030.1:89420..91402'},21.94787379972561,optimal
71,{'gatA'},21.94787379972561,optimal
72,{'NZ_AEYC01000038.1:62797..64023'},21.94787379972561,optimal
73,{'hemC'},21.94787379972561,optimal
74,{'NZ_AEYC01000088.1:85119..86564'},20.4054414510536,optimal
75,{'tpiA'},21.94787379972562,optimal
76,{'NZ_AEYC01000018.1:193865..194743'},-1.5653232375793822e-14,optimal
77,{'C-NZ_AEYC01000015.1:4160..5236'},21.94787379972567,optimal
78,{'hemH'},21.94787379972567,optimal
79,{'NZ_AEYC01000019.1:16163..17533'},21.94787379972567,optimal
80,{'C-NZ_AEYC01000018.1:221254..223197'},21.94787379972567,optimal
81,{'C-NZ_AEYC01000019.1:287262..288608'},21.94787379972567,optimal
82,{'C-NZ_AEYC01000017.1:9868..11079'},21.94787379972567,optimal
83,{'C-NZ_AEYC01000005.1:18703..19707'},21.94787379972567,optimal
84,{'NZ_AEYC01000018.1:27183..28394'},21.94787379972567,optimal
85,{'purN'},21.94787379972567,optimal
86,{'mraY'},21.94787379972567,optimal
87,{'C-NZ_AEYC01000066.1:67533..68984'},21.94787379972567,optimal
88,{'C-NZ_AEYC01000006.1:175272..176441'},21.947873799725638,optimal
89,{'NZ_AEYC01000083.1:41224..42981'},21.947873799725638,optimal
90,{'NZ_AEYC01000088.1:81321..82406'},21.947873799725638,optimal
91,{'glpX'},21.947873799725638,optimal
