,ids,growth,status
0,{'EX_C00577_e'},21.947873799725638,optimal
1,{'R_L-Threonine1'},21.947873799725638,optimal
2,{'R02060'},21.947873799725638,optimal
3,{'R02291'},21.947873799725638,optimal
4,{'R08161'},21.947873799725638,optimal
5,{'R02382'},21.947873799725638,optimal
6,{'R04559'},21.947873799725638,optimal
7,{'R00472'},21.947873799725638,optimal
8,{'R08244'},21.947873799725638,optimal
9,{'EX_C00526_e'},21.94787379972559,optimal
10,{'R08340'},21.947873799725617,optimal
11,{'R02272'},21.947873799725617,optimal
12,{'R08227'},21.947873799725617,optimal
13,{'R05509'},21.947873799725617,optimal
14,{'R01857'},21.947873799725617,optimal
15,{'R06895'},21.947873799725617,optimal
16,{'R04065'},21.947873799725617,optimal
17,{'R00568'},21.947873799725617,optimal
18,{'R09222'},21.947873799725617,optimal
19,{'EX_C00001_e'},21.947873799725617,optimal
20,{'EX_C00257_e'},20.830381181805294,optimal
21,{'R06971'},21.947873799725656,optimal
22,{'R09083'},21.947873799725638,optimal
23,{'R_Fe3+'},21.947873799725638,optimal
24,{'R00922'},21.947873799725638,optimal
25,{'R03193'},21.947873799725638,optimal
26,{'R00670'},21.947873799725638,optimal
27,{'R03045'},21.947873799725638,optimal
28,{'R_FAD'},19.45525291828792,optimal
29,{'R00209'},21.947873799725475,optimal
30,{'R04944'},21.947873799725613,optimal
31,{'R01954'},21.947873799725613,optimal
32,{'R00137'},21.947873799725613,optimal
33,{'R02649'},21.947873799725613,optimal
34,{'R01492'},21.947873799725613,optimal
35,{'R03869'},21.947873799725613,optimal
36,{'R04738'},21.947873799725613,optimal
37,{'R01664'},21.947873799725613,optimal
38,{'R05030'},21.947873799725613,optimal
39,{'R03035'},1.2634604494456778e-14,optimal
40,{'R03055'},21.947873799725418,optimal
41,{'R_Glycolate'},21.947873799725656,optimal
42,{'R01334'},21.947873799725656,optimal
43,{'R_Uridine'},21.947873799725656,optimal
44,{'R08250'},21.947873799725656,optimal
45,{'R02984'},21.947873799725656,optimal
46,{'R03222'},21.947873799725656,optimal
47,{'R02292'},21.947873799725656,optimal
48,{'R00424'},21.947873799725656,optimal
49,{'R04954'},21.947873799725656,optimal
50,{'R05810'},21.947873799725656,optimal
51,{'R03387'},21.947873799725656,optimal
52,{'R07051'},21.947873799725656,optimal
53,{'R04844'},21.947873799725656,optimal
54,{'R01394'},21.947873799725656,optimal
55,{'R01770'},21.947873799725656,optimal
56,{'EX_C00469_e'},21.48204404903976,optimal
57,{'R08270'},21.947873799725617,optimal
58,{'R08734'},21.947873799725585,optimal
59,{'R00118'},21.947873799725585,optimal
60,{'R02840'},21.947873799725585,optimal
61,{'EX_C00380_e'},21.947873799725585,optimal
62,{'R02869'},21.947873799725585,optimal
63,{'R02295'},21.947873799725585,optimal
64,{'R_Ethanol'},21.482044049039704,optimal
65,{'R02091'},21.947873799725617,optimal
66,{'R08268'},21.94787379972561,optimal
67,{'R08114'},21.94787379972561,optimal
68,{'EX_C00487_e'},21.94787379972561,optimal
69,{'R02545'},21.94787379972561,optimal
70,{'R02262'},21.94787379972561,optimal
71,{'EX_C00140_e'},21.94787379972561,optimal
72,{'R00089'},21.94787379972561,optimal
73,{'R00005'},21.94787379972561,optimal
74,{'R00970'},21.94787379972561,optimal
75,{'R00354'},21.94787379972561,optimal
76,{'R04558'},21.94787379972561,optimal
77,{'R_Phosphatidylserine'},21.94787379972561,optimal
78,{'R04208'},21.94787379972561,optimal
79,{'R08100'},21.94787379972561,optimal
80,{'R03884'},21.94787379972561,optimal
81,{'R05510'},21.94787379972561,optimal
82,{'R_Acetaldehyde'},21.33988821217775,optimal
83,{'R_Acetate'},21.94787379972565,optimal
84,{'R04907'},21.947873799725656,optimal
85,{'R05284'},21.947873799725656,optimal
86,{'R04544'},21.947873799725656,optimal
87,{'R04890'},21.947873799725656,optimal
88,{'R05808'},21.947873799725656,optimal
89,{'R01549'},21.947873799725656,optimal
90,{'R02472'},4.774075123897048e-14,optimal
91,{'R07773'},21.947873799725617,optimal
92,{'R_C170ACP'},21.947873799725695,optimal
93,{'R01931'},21.947873799725695,optimal
94,{'R_Guanine'},21.692208072523176,optimal
95,{'R04257'},21.94787379972565,optimal
96,{'R00955'},21.282633371169155,optimal
97,{'R00789'},21.947873799725652,optimal
98,{'R02485'},21.94787379972567,optimal
99,{'R06990'},21.94787379972567,optimal
100,{'R04405'},21.94787379972567,optimal
101,{'R07112'},21.94787379972567,optimal
102,{'R07896'},21.94787379972567,optimal
103,{'R03408'},21.94787379972567,optimal
104,{'R00713'},21.94787379972559,optimal
105,{'R00471'},21.94787379972567,optimal
106,{'R05615'},21.94787379972567,optimal
107,{'R04847'},21.94787379972567,optimal
108,{'R04640'},21.94787379972567,optimal
109,{'R07970'},21.94787379972567,optimal
110,{'R02912'},21.94787379972567,optimal
111,{'R02933'},21.94787379972567,optimal
112,{'R02323'},21.94787379972567,optimal
113,{'R07027'},21.94787379972567,optimal
114,{'R05133'},21.94787379972567,optimal
115,{'EX_C00086_e'},21.94787379972567,optimal
116,{'R01933'},21.94787379972567,optimal
117,{'R00022'},21.94787379972567,optimal
118,{'R01293'},21.94787379972567,optimal
119,{'R07071'},21.94787379972567,optimal
120,{'R02752'},21.94787379972567,optimal
121,{'R08258'},21.94787379972567,optimal
122,{'R02371'},21.94787379972567,optimal
123,{'R04929'},21.94787379972567,optimal
124,{'EX_C00919_e'},21.94787379972567,optimal
125,{'R05134'},21.94787379972567,optimal
126,{'EX_C00245_e'},21.94787379972567,optimal
127,{'R08256'},21.94787379972567,optimal
128,{'R02719'},21.94787379972567,optimal
129,{'R06989'},21.94787379972567,optimal
130,{'R02536'},21.94787379972567,optimal
131,{'R01248'},21.815175221013803,optimal
132,{'R01466'},21.947873799725635,optimal
133,{'R05150'},21.947873799725627,optimal
134,{'R07020'},21.947873799725627,optimal
135,{'EX_C00026_e'},21.815175221013796,optimal
136,{'R01978'},21.947873799725638,optimal
137,{'R04953'},21.947873799725635,optimal
138,{'R07972'},21.947873799725635,optimal
139,{'R01137'},21.947873799725635,optimal
140,{'R03595'},21.947873799725635,optimal
141,{'R06400'},21.947873799725635,optimal
142,{'R07405'},21.947873799725635,optimal
143,{'R08101'},21.947873799725635,optimal
144,{'R08343'},21.947873799725635,optimal
145,{'R09129'},21.947873799725635,optimal
146,{'EX_C00184_e'},21.947873799725635,optimal
147,{'R08855'},21.947873799725635,optimal
148,{'R09195'},21.947873799725635,optimal
149,{'R01011'},21.947873799725635,optimal
150,{'R00434'},21.947873799725635,optimal
151,{'R02678'},21.947873799725635,optimal
152,{'R04457'},21.947873799725635,optimal
153,{'R03509'},21.947873799725635,optimal
154,{'R00586'},21.926151503616275,optimal
155,{'R04737'},21.947873799725595,optimal
156,{'R03283'},21.947873799725627,optimal
157,{'R02147'},21.947873799725627,optimal
158,{'R_D-Alanine'},20.196855426306715,optimal
159,{'R04030'},21.94787379972566,optimal
160,{'R00658'},16.260162601625883,optimal
161,{'R07087'},21.94787379972563,optimal
162,{'EX_C00025_e'},21.94787379972562,optimal
163,{'R03157'},21.94787379972562,optimal
164,{'R09177'},21.947873799725638,optimal
165,{'R05069'},21.947873799725638,optimal
166,{'R02096'},21.947873799725638,optimal
167,{'R_L-Isoleucine2'},21.947873799725638,optimal
168,{'R00987'},21.947873799725638,optimal
169,{'R01512'},16.26016260162599,optimal
170,{'R01354'},21.94787379972563,optimal
171,{'R04112'},21.94787379972562,optimal
172,{'R05731'},21.94787379972562,optimal
173,{'R04001'},21.94787379972562,optimal
174,{'R07016'},21.94787379972562,optimal
175,{'R03508'},21.94787379972562,optimal
176,{'R07839'},21.94787379972562,optimal
177,{'R08503'},21.94787379972562,optimal
178,{'R06941'},21.94787379972562,optimal
