Gene ID,Objective Value
hppA,19.60784313725489
NZ_AEYC01000083.1:41224..42981,21.94787379972562
ilvH,21.94787379972571
NZ_AEYC01000001.1:283645..285390,21.94787379972571
C-NZ_AEYC01000095.1:77420..79123,21.94787379972571
NZ_AEYC01000068.1:96769..97665,21.94787379972571
hemC,21.94787379972571
C-NZ_AEYC01000001.1:434650..436047,21.94787379972571
coaE,-1.2159610144626666e-13
ureA,21.94787379972567
ureC,21.947873799725635
C-NZ_AEYC01000019.1:316021..316419,21.947873799725635
SAM-s,-8.965768896470422e-15
C-NZ_AEYC01000063.1:51885..52004,21.947873799725627
C-NZ_AEYC01000008.1:170353..171813,21.947873799725606
C-NZ_AEYC01000063.1:52014..53474,21.947873799725606
C-NZ_AEYC01000017.1:9868..11079,21.947873799725606
NZ_AEYC01000006.1:124335..125588,21.947873799725606
kgd,21.947873799725606
hemH,21.947873799725606
NZ_AEYC01000007.1:118125..119327,21.947873799725606
NZ_AEYC01000007.1:108023..108523,21.947873799725606
C-NZ_AEYC01000001.1:45678..46865,21.947873799725606
C-NZ_AEYC01000096.1:79272..80639,21.947873799725606
C-NZ_AEYC01000074.1:53965..55167,21.947873799725606
tnaA,21.947873799725606
gabD,21.947873799725606
NZ_AEYC01000001.1:311535..312641,21.947873799725606
C-NZ_AEYC01000005.1:18703..19707,21.947873799725606
C-NZ_AEYC01000030.1:89420..91402,21.947873799725606
NZ_AEYC01000066.1:96373..98328,21.947873799725606
C-NZ_AEYC01000001.1:440887..441744,21.947873799725606
NZ_AEYC01000017.1:17231..18451,21.947873799725606
NZ_AEYC01000018.1:27183..28394,21.947873799725606
C-NZ_AEYC01000066.1:38264..38869,21.947873799725606
C-NZ_AEYC01000088.1:423760..424932,21.947873799725606
NZ_AEYC01000063.1:141962..143170,21.947873799725606
C-NZ_AEYC01000072.1:37204..38487,21.947873799725606
NZ_AEYC01000001.1:220457..221695,21.947873799725606
NZ_AEYC01000001.1:123218..124432,21.947873799725606
NZ_AEYC01000076.1:69490..69840,21.947873799725606
C-NZ_AEYC01000088.1:106778..107956,21.947873799725606
C-NZ_AEYC01000005.1:47902..49599,21.947873799725606
purU,21.930222020842784
ruvB,21.947873799725556
NZ_AEYC01000023.1:146982..148055,21.947873799725606
NZ_AEYC01000024.1:15651..16055,21.947873799725606
NZ_AEYC01000001.1:169292..170101,21.947873799725606
NZ_AEYC01000021.1:21202..22068,21.947873799725606
NZ_AEYC01000007.1:176966..177736,21.947873799725606
ksgA,21.947873799725606
NZ_AEYC01000001.1:36766..38325,21.947873799725606
C-NZ_AEYC01000001.1:280402..282246,21.947873799725606
NZ_AEYC01000023.1:47115..48809,21.947873799725606
C-NZ_AEYC01000020.1:121967..123667,21.947873799725606
NZ_AEYC01000021.1:57863..59557,21.947873799725606
NZ_AEYC01000019.1:16163..17533,21.947873799725606
gvcT,21.947873799725606
NZ_AEYC01000006.1:19712..22606,21.947873799725606
NZ_AEYC01000023.1:41338..41667,21.947873799725606
C-NZ_AEYC01000006.1:175272..176441,21.947873799725606
NZ_AEYC01000089.1:63369..65351,21.947873799725606
C-NZ_AEYC01000023.1:340533..340802,21.947873799725606
tdh,21.947873799725606
NZ_AEYC01000002.1:5979..6593,21.947873799725606
C-NZ_AEYC01000094.1:14369..15457,21.947873799725606
NZ_AEYC01000094.1:52661..53104,21.947873799725606
deoA,21.69220807252331
NZ_AEYC01000096.1:74697..76004,21.947873799725652
NZ_AEYC01000006.1:7218..8462,21.947873799725627
C-NZ_AEYC01000064.1:10872..12188,21.947873799725627
NZ_AEYC01000033.1:588..2312,21.947873799725627
NZ_AEYC01000023.1:282670..282888,21.947873799725627
C-NZ_AEYC01000021.1:34508..35395,21.947873799725627
C-NZ_AEYC01000084.1:109034..109960,21.947873799725627
NZ_AEYC01000001.1:42651..43808,21.947873799725627
C-NZ_AEYC01000095.1:19309..20475,21.947873799725627
C-NZ_AEYC01000095.1:18421..19305,21.947873799725627
NZ_AEYC01000018.1:193865..194743,-3.897876634237503e-14
panC,0.0
NZ_AEYC01000001.1:38322..39974,21.94787379972569
C-NZ_AEYC01000013.1:40068..41000,-1.1664876167938402e-14
C-NZ_AEYC01000089.1:24584..25372,21.947873799725436
NZ_AEYC01000088.1:341279..342058,21.947873799725595
C-NZ_AEYC01000050.1:11011..11862,21.947873799725595
