reaction	substrate
R09676	C02189
R00245	C01165
R00707	C03912
R00708	C03912
R04444	C04281
R04445	C04281
R05051	C05947
R13148	C01165
R01253	C00148
R01253	C15602
R01064	C01286
R01541	C00204
R00943	C00058
R00943	C00101
R00833	C01213
R01708	C00314
R05775	C00029
R05775	C00094
R02300	C03479
R04125	C00101
R04125	C01242
R06782	C00007
R06782	C05629
R06783	C00007
R06783	C00423
R01274	C00154
R00200	C00022
R00430	C00022
R01138	C00022
R01858	C00022
R02320	C00022
R02320	C00201
R00021	C00025
R00021	C00139
R10086	C00025
R10086	C00139
R03508	C01302
R04037	C02741
R04558	C00064
R04558	C04916
R04640	C04896
R03457	C04666
R01158	C00860
R01163	C01929
R03012	C00860
R03348	C00013
R03348	C01185
R00357	C00007
R00357	C00049
R00481	C00007
R00481	C00049
R04292	C00009
R04292	C03722
R00111	C00007
R00111	C05933
R00557	C00007
R00557	C00062
R00558	C00007
R00558	C00062
R03193	C00041
R03193	C01050
R05032	C00043
R05032	C05897
R05662	C00043
R05662	C04851
R06173	G10552
R06173	G10610
R06174	G10556
R06174	G10610
R02783	C00217
R02783	C01212
R05629	C04702
R05629	C17556
R05630	C04882
R05630	C17556
R04573	C00993
R04573	C05892
R04617	C00993
R04617	C04877
R02788	C00680
R02788	C00692
R02322	C00455
R00196	C00125
R00196	C00186
R06613	C00143
R04198	C03972
R04199	C03972
R00161	C00061
R00549	C00255
R00188	C00054
R00508	C00053
R02864	C00748
R03194	C00019
R03194	C01051
R03947	C02463
R05807	C00175
R05807	C05778
R05177	C06408
R05814	C11545
R05180	C00019
R05180	C06406
R05809	C00019
R05809	C11539
R07772	C16242
R11580	C00019
R11580	C00030
R11580	C17401
R05149	C00019
R05149	C06319
R07774	C00019
R07774	C11543
R07775	C00019
R07775	C16244
R07773	C00019
R07773	C16243
R05181	C00019
R05181	C06407
R05810	C00019
R05810	C11540
R03948	C00019
R03948	C02463
R05808	C00019
R05808	C11538
R05224	C00064
R05224	C06399
R05815	C00064
R05815	C05773
R01492	C00853
R05220	C06505
R07268	C05774
R12184	C03024
R12184	C06504
R05227	C00175
R05227	C06503
R05225	C00064
R05225	C06506
R08689	C00138
R08689	C11453
R10859	C02869
R10859	C11811
R05688	C11434
R02274	C00026
R02274	C00431
R04188	C00026
R04188	C03284
R01799	C00416
R00317	C00227
R01421	C06206
R01515	C00236
R03035	C01134
R00344	C00022
R00344	C00288
R10796	C00007
R10796	C00138
R10796	C20856
R00617	C01081
R01150	C00133
R01001	C02291
R04770	C05335
R04930	C05699
R09366	C05689
R00842	C00093
R00844	C00093
R09397	C19156
R12646	C00074
R03896	C02612
R03898	C02226
R03968	C02504
R04001	C04411
R10170	C04411
R08620	C17210
R08624	C17214
R08628	C17218
R08634	C17222
R08641	C17226
R08645	C17230
R01805	C06241
R05578	C00025
R05578	C01641
R07460	C00097
R07460	C15811
R11529	C02743
R11529	C15812
R05595	C00877
R02111	C00009
R02111	C00369
R00772	C00275
R01819	C00275
R02765	C01213
R09979	C18026
R02170	C00395
R00028	C00208
R00801	C00089
R00802	C00089
R06087	G00370
R06088	G00370
R00660	C00043
R00660	C00074
R08856	C00043
R08856	C17556
R10137	C00043
R10137	C02970
R12075	C02970
R12075	G10610
R12859	C17556
R12859	G10610
R02603	C00042
R02603	C00596
R06789	C12624
R01771	C00263
R01773	C00263
R01775	C00263
R00451	C00680
R08734	C15613
R08739	C17345
R13462	C23011
R01068	C00354
R01070	C05378
R02568	C01094
R08568	C00441
R08568	C16848
R00396	C00041
R01465	C00188
R00371	C00024
R00371	C00037
R02288	C03680
R02286	C00439
R02914	C03680
R01168	C00135
R00216	C00149
R06514	C11907
R03460	C00074
R03460	C03175
R00615	C00068
R02135	C01081
R02251	C00422
R13459	C00226
R13459	C02843
R01818	C00275
R09398	C19154
R09398	C19155
R12648	C19154
R12648	C22297
R00885	C00636
R10175	C03319
R10175	C20390
R12077	C03319
R12077	G13118
R02777	C03319
R06513	C00842
R07405	C15667
R07404	C00288
R07404	C03373
R03013	C01100
R05226	C03194
R05226	C06507
R01360	C00356
R08090	C04675
R01074	C00120
R05145	C05921
R05145	C06249
R00847	C00116
R00551	C00062
R07675	C01825
R08926	C01019
R03688	C01720
R01526	C00309
R00548	C00061
R07280	C04454
R01561	C00009
R01561	C00212
R01863	C00009
R01863	C00294
R01969	C00009
R01969	C00330
R02147	C00009
R02147	C00387
R02294	C00009
R02294	C03150
R02295	C00009
R02295	C05841
R02297	C00009
R02297	C01762
R02557	C00009
R02557	C00559
R02748	C00009
R02748	C05512
R08368	C00009
R08368	C15586
R10244	C00009
R10244	C20463
R00604	C00067
R01066	C00673
R01560	C00212
R02556	C00559
R01570	C00009
R01570	C00214
R02484	C00009
R02484	C00526
R08222	C00009
R08222	C12739
R08230	C00672
R08230	C07649
R01878	C00475
R02485	C00881
R08221	C16635
R13327	C00007
R13327	C00138
R13327	C09822
R00267	C00311
R00268	C05379
R01899	C00311
R01220	C00143
R01655	C00445
R09107	C15532
R04560	C00234
R04560	C04677
R04325	C00234
R04325	C03838
R04326	C00445
R04326	C03838
R00405	C00042
R02404	C00490
R01361	C01089
R01230	C00014
R01230	C00655
R01231	C00064
R01231	C00655
R08244	C00064
R08244	C16618
R08240	C04646
R08572	C00258
R00013	C00048
R01745	C00258
R01747	C00258
R01394	C00168
R06601	C11821
R02106	C00007
R02106	C00366
R07981	C00007
R07981	C16361
R00472	C00149
R00401	C00041
R02060	C06156
R00355	C00026
R00355	C00049
R00896	C00026
R00896	C00097
R02433	C00026
R02433	C00506
R02619	C00026
R02619	C00606
R05052	C00026
R05052	C05947
R02328	C00103
R11945	C00399
R09736	C00019
R09736	C19847
R09737	C00019
R09737	C19858
R08165	C00026
R08165	C00885
R07263	C03160
R04030	C02730
R10757	C03657
R10757	C05847
R02272	C00430
R00036	C00430
R00084	C00931
R04109	C02987
R01248	C00148
R01251	C00148
R03291	C01157
R03293	C01157
R03191	C01050
R03192	C01050
R04138	C00288
R04138	C03069
R05553	C11355
R04208	C04640
R01072	C00013
R01072	C00025
R01072	C03090
R02081	C00418
R04463	C00064
R04463	C04376
R01579	C00819
R04591	C00049
R04591	C04751
R01083	C03794
R04559	C04823
R12851	C22395
R00751	C00188
R06171	C05519
R04144	C00037
R04144	C03090
R01135	C00049
R01829	C00447
R02059	C00357
R01870	C00013
R01870	C01103
R01080	C00299
R01273	C03150
R10046	C05841
R00193	C00021
R09660	C00170
R07324	C00092
R07888	C16327
R07892	C16331
R07896	C16335
R07934	C00007
R07934	C16168
R07950	C00007
R07950	C16172
R12356	C00007
R12356	C00100
R01939	C00026
R01939	C00956
R00293	C00029
R08704	C04089
R08705	C17328
R06428	C11907
R06430	C11930
R08930	C11922
R08931	C00025
R08931	C18032
R08932	C00019
R08932	C18033
R_AGL	C00024
R_AGL	C00100
R_Assemble	C00019
R_Assemble	C02199
R_Assemble	C18034
R_Assemble	C_AGL
R_Spinosad	C_Spinosad
R_Taurine	C00245
R_Molybdate	C06232
R_Thiamine	C00378
R_Betaine	C00719
R_L-Proline1	C00148
R_Choline	C00114
R_Sulfate	C00059
R_Nitrate	C00244
R_Maltose	C00208
R_D-Sorbitol	C00794
R_Cellobiose	C00185
R_D-Ribose	C00121
R_D-Fructose1	C00095
R_Orthophosphate1	C00009
R_L-Glutamate1	C00025
R_L-Valine1	C00183
R_L-Leucine1	C00123
R_L-Isoleucine1	C00407
R_L-Threonine1	C00188
R_L-Histidine1	C00135
R_Peptide	C00012
R_Cobalt_ion	C00175
R_N-Acetyl-D-glucosamine	C00074
R_N-Acetyl-D-glucosamine	C00140
R_D-Fructose2	C00074
R_D-Fructose2	C00095
R_Oxygen	C00007
R_Formate	C00058
R_Salicyl_alcohol	C02323
R_Glycolate	C00160
R_Acetaldehyde	C00084
R_L-Citrulline	C00327
R_Formylanthranilate	C00067
R_Glycerol	C00116
R_Glycerone	C00184
R_Guanine	C00242
R_Hypoxanthine	C00262
R_D-Glyceraldehyde	C00577
R_Urea	C00086
R_Xanthine	C00385
R_Acetate	C00033
R_Adenine	C00147
R_Adenosine	C00212
R_2-Oxoglutarate	C00026
R_L-Aspartate	C00049
R_Citrate	C00158
R_Cytidine	C00475
R_Cytosine	C00380
R_Deoxyadenosine	C00559
R_D-Alanine	C00133
R_Deoxycytidine	C00881
R_Deoxyguanosine	C00330
R_Deoxyinosine	C05512
R_D-Serine	C00740
R_Thymidine	C00214
R_Deoxyuridine	C00526
R_Ethanol	C00469
R_Fumarate	C00122
R_4-Aminobutanoate	C00334
R_D-Galactose	C00124
R_L-Glutamate2	C00064
R_D-Glucose	C00031
R_D-Gluconic_acid	C00257
R_Glycine	C00037
R_Guanosine	C00387
R_L-Histidine2	C00135
R_L-Isoleucine2	C00407
R_Inosine	C00294
R_2-Dehydro-3-deoxy-D-gluconate	C00204
R_(R)-Lactate	C00256
R_L-Leucine2	C00123
R_(S)-Lactate	C00186
R_L-Lysine	C00047
R_(S)-Malate	C00149
R_L-Phenylalanine	C00079
R_Orthophosphate2	C00009
R_L-Proline2	C00148
R_Propanoate	C00163
R_Pyruvate	C00022
R_L-Serine	C00065
R_Succinate	C00042
R_L-Threonine2	C00188
R_L-Tryptophan	C00078
R_Uracil	C00106
R_Uridine	C00105
R_L-Valine2	C00183
