reaction	substrate
R05086	C06055
R00994	C00109
R04426	C04411
R10052	C04411
R00409	C04593
R00479	C00311
R00025	C00007
R00025	C01847
R00025	C18091
R00705	C00222
R00706	C00222
R00922	C00349
R00935	C06002
R03158	C01013
R05064	C06000
R00509	C00224
R00529	C00059
R04928	C05686
R04929	C05697
R02021	C00053
R02021	C00342
R00859	C00139
R00859	C00283
R03600	C00139
R03600	C01528
R06447	C00129
R06447	C00448
R01494	C00195
R06518	C12126
R06528	C12145
R00742	C00024
R00742	C00288
R01859	C00100
R01859	C00288
R04386	C00024
R04386	C04419
R02768	C00173
R02768	C01209
R04355	C01209
R04355	C03939
R04726	C01209
R04726	C05223
R04952	C01209
R04952	C05745
R04957	C01209
R04957	C05749
R04960	C01209
R04960	C05752
R04963	C01209
R04963	C05755
R04968	C01209
R04968	C05761
R07762	C01209
R07762	C05764
R10115	C01209
R10115	C19673
R10119	C01209
R10119	C20375
R12049	C00083
R12049	C02247
R10707	C00024
R10707	C01209
R01626	C00083
R01626	C00229
R00014	C00022
R00014	C00068
R00209	C00022
R01699	C00022
R01699	C15972
R03270	C05125
R03270	C15972
R01658	C00129
R01658	C00235
R02003	C00129
R02003	C00341
R02061	C00129
R02061	C00448
R01826	C00074
R01826	C00279
R00251	C01879
R06529	C04122
R06529	C06507
R07302	C03194
R07302	C06507
R04594	C04778
R01226	C00141
R01226	C00143
R00189	C00014
R00189	C00857
R00253	C00014
R00253	C00025
R07767	C00019
R07767	C16236
R07767	C22150
R07767	C22154
R12423	C00019
R12423	C22150
R12423	C22154
R12423	C22160
R12424	C00019
R12424	C22150
R12424	C22154
R12424	C22159
R07766	C05752
R07766	C16240
R07769	C16239
R07769	C16240
R12427	C05752
R12427	C22158
R12428	C05752
R12428	C22157
R02569	C00024
R02569	C15973
R01210	C00141
R01221	C00037
R01221	C00101
R01651	C00233
R01698	C00579
R01933	C00322
R03171	C00671
R03815	C02972
R07618	C15973
R08549	C00026
R01090	C00026
R01090	C00123
R01214	C00026
R01214	C00183
R02199	C00026
R02199	C00407
R08622	C00151
R08622	C17211
R08626	C00151
R08626	C17216
R10991	C00026
R10991	C02356
R05223	C00194
R11174	C04778
R11174	C06510
R04148	C01185
R04148	C03114
R05221	C06508
R05222	C06509
R06558	C06508
R00185	C00212
R02112	C00369
R11262	C01935
R00650	C00019
R00650	C00155
R11063	C00155
R11063	C03172
R01073	C00013
R01073	C04302
R00390	C00638
R01280	C00249
R02241	C00416
R09381	C00173
R09381	C00681
R00756	C00085
R03236	C01097
R03237	C01097
R03238	C01097
R03239	C01097
R04779	C05345
R07653	C16144
R09690	C16144
R09719	C16144
R09744	C19840
R09745	C19841
R09746	C16145
R07168	C00440
R00470	C01127
R05605	C04442
R02036	C00345
R01122	C00235
R01122	C17324
R02735	C00666
R00291	C00029
R02984	C00842
R01092	C00984
R01931	C00177
R01931	C00320
R03105	C00342
R03105	C00957
R02187	C00221
R02189	C00267
R01185	C01177
R01186	C03546
R01187	C04006
R11896	C21751
R05636	C00022
R05636	C00118
R01975	C01144
R03026	C01144
R04170	C05262
R04737	C05258
R04738	C05258
R04739	C05260
R04740	C05260
R04741	C05262
R04743	C05264
R04744	C05264
R04745	C05266
R04746	C05266
R04748	C05268
R04749	C05268
R07889	C16329
R07890	C16329
R07893	C16333
R07894	C16333
R07897	C16337
R07898	C16337
R00927	C00024
R00927	C00100
R03778	C00024
R03778	C01944
R03858	C00024
R03858	C01832
R03991	C00024
R03991	C02593
R04546	C00100
R04546	C05337
R04742	C00024
R04742	C05274
R04747	C00024
R04747	C05270
R07891	C00024
R07891	C16331
R07895	C00024
R07895	C16335
R07899	C00024
R07899	C16339
R07937	C00024
R07937	C16169
R07953	C00024
R07953	C16173
R03197	C01051
R04972	C05766
R03222	C00007
R03222	C01079
R04178	C00007
R04178	C03263
R11522	C00027
R11522	C21284
R02472	C00522
R00667	C00026
R00667	C00077
R02035	C01236
R01976	C01144
R05576	C05116
R06941	C14145
R05284	C06752
R05367	C06609
R05368	C06610
R05369	C06597
R05370	C06598
R07669	C06988
R07670	C16181
R02487	C00527
R02488	C00527
R02488	C04253
R10074	C00527
R10074	C04253
R09954	C06153
R00761	C00009
R00761	C00085
R01621	C00009
R01621	C00231
R00315	C00033
R01353	C00163
R01305	C00007
R01305	C13635
R03187	C02565
R00875	C00794
R01896	C00379
R06294	C00007
R06294	C03024
R06294	C11874
R06295	C00007
R06295	C03024
R06295	C11875
R06296	C00007
R06296	C03024
R06296	C11875
R06297	C00007
R06297	C03024
R06297	C06093
R10067	C00007
R10067	C03024
R10067	C11874
R00431	C00036
R00726	C00036
R05623	C00007
R05623	C00565
R03045	C05668
R03276	C01144
R04137	C05998
R04203	C04405
R04204	C04405
R04224	C03460
R05305	C06714
R06411	C11946
R06412	C11945
R06942	C14144
R08093	C16468
R08094	C16469
R00908	C00026
R00908	C00099
R01648	C00026
R01648	C00334
R00264	C00433
R00631	C00071
R00710	C00084
R00904	C05665
R01752	C00577
R01986	C00555
R02549	C00555
R02678	C00637
R02940	C05985
R02957	C02670
R03283	C01149
R03869	C06002
R04065	C05130
R04506	C05445
R04903	C05634
R05050	C05936
R05237	C06613
R05238	C16348
R05286	C06754
R06366	C02576
R08146	C03461
R07262	C15547
R00130	C00882
R06946	C00007
R06946	C00138
R06946	C06098
R06947	C00007
R06947	C00138
R06947	C08579
R10070	C00007
R10070	C00138
R10070	C06098
R01175	C00136
R01279	C00154
R02661	C00028
R02661	C00630
R03172	C00028
R03172	C15980
R03777	C01944
R03857	C01832
R03990	C02593
R04095	C02939
R04751	C05270
R04754	C05274
R00947	C00103
R01025	C00028
R01025	C00114
R02565	C00576
R02566	C00576
R02382	C00007
R02382	C00483
R02529	C00007
R02529	C01888
R02613	C00007
R02613	C05332
R03139	C00007
R03139	C00986
R04027	C00007
R04027	C02723
R04300	C00007
R04300	C03758
R06154	C00007
R06154	C00218
R06740	C00007
R06740	C01672
R00261	C00025
R01682	C00506
R02466	C00606
R01179	C00033
R01179	C00136
R01359	C00033
R01359	C00332
R07832	C00024
R07832	C16272
R04428	C04618
R04535	C04619
R04537	C04620
R04544	C04633
R04568	C04688
R04954	C05747
R04965	C05757
R10208	C01271
R00623	C00226
R00754	C00469
R02124	C00473
R04805	C05444
R04880	C05576
R05233	C06611
R05234	C06612
R06917	C14089
R06927	C02909
R07105	C06899
R08281	C07645
R08306	C16586
R08310	C16595
R05287	C06755
R11357	C00007
R11357	C00138
R11357	C00599
R09955	C20252
R06363	C00395
R01374	C02265
R01374	C15602
R09493	C00405
R09493	C15602
R03443	C00009
R03443	C01250
R00259	C00024
R00259	C00025
R02282	C00025
R02282	C00437
R02649	C00624
R02283	C00026
R02283	C00437
R04475	C00026
R04475	C04421
R01398	C00077
R01398	C00169
R01086	C03406
R00841	C00093
R00571	C00014
R00573	C00064
R01513	C00197
R01012	C00074
R01012	C00184
R02262	C01099
R12696	C22337
R01123	C00129
R00669	C00437
R10553	C05727
R11428	C00028
R11428	C03440
R00374	C00028
R00374	C00037
R05704	C00028
R05704	C00037
R02280	C04282
R04374	C05147
R10467	C00007
R10467	C20643
R07210	C00007
R07210	C01847
R07210	C15521
R10206	C00007
R10206	C01847
R10206	C11145
R00465	C00160
R01392	C00258
R09281	C00989
R05706	C01847
R04385	C00288
R04385	C06250
R13256	C00288
R13256	C20876
R01067	C00085
R01067	C00118
R01641	C00118
R01641	C05382
R01830	C00118
R01830	C05345
R06590	C00117
R06590	C12214
R08714	C00022
R08714	C00134
R06398	C00007
R06398	C06099
R09385	C00007
R09385	C00521
R09389	C00007
R09389	C00521
R09393	C00007
R09393	C06099
R05062	C00125
R05062	C05986
R05198	C00125
R05198	C00469
R05285	C00125
R05285	C06753
R01366	C00164
R00010	C01083
R05645	C05382
R09768	C05382
R09769	C05382
R08034	C16396
R07644	C00065
R07644	C00196
R03707	C03046
R09078	C00741
R10505	C20657
R00191	C00575
R00698	C00007
R00698	C00079
R02596	C00590
R03919	C02325
R04007	C02646
R07443	C12205
R11906	C00027
R11906	C07054
R03182	C01037
R12933	C01037
R12934	C22458
R03210	C00041
R03210	C01063
R10124	C00041
R10124	C19845
R03231	C00019
R03231	C01092
R01078	C00019
R01078	C01909
R01078	C05359
R01078	C17023
R00421	C00043
R10141	C00025
R10141	C20395
R00713	C00232
R00714	C00232
R02401	C03273
R00674	C00065
R00674	C00463
R02340	C03506
R02722	C00065
R02722	C03506
R07940	C13747
R08036	C00024
R08036	C16396
R08248	C00024
R08248	C07054
R08250	C00024
R08250	C07447
R11902	C00024
R11902	C05361
R02589	C00007
R02589	C00587
R08569	C16850
R09761	C15794
R09762	C08814
R00905	C02642
R04666	C21029
R02522	C00545
R10917	C20940
R06390	C11402
R06391	C11403
R06392	C11414
R06393	C11418
R00269	C00940
R00348	C02362
R00369	C00041
R00369	C00048
R00372	C00026
R00372	C00037
R00585	C00022
R00585	C00065
R00588	C00048
R00588	C00065
R01715	C00251
R08266	C00007
R08266	C07108
R12959	C00007
R12959	C00519
R09725	C19846
R07281	C00199
R01446	C00424
R00897	C00283
R00897	C00979
R03601	C00979
R03601	C01528
R04859	C00320
R04859	C00342
R04859	C00979
R07274	C00283
R07274	C01005
R02718	C00133
R02718	C00653
R12812	C00133
R12812	G13185
R12863	C00133
R12863	G13167
R12867	C00133
R12867	G13170
R12871	C00133
R12871	G13174
R12873	C00133
R12873	G13176
R12875	C00133
R12875	G13178
R12904	C00133
R12904	G13192
R00661	C00074
R10848	C00800
R11007	C00007
R11007	C00187
R11008	C00007
R11008	C00187
R01827	C00118
R01827	C05382
R08575	C00118
R08575	C05382
R00771	C00092
R02739	C00668
R02740	C00668
R03321	C01172
R13199	C00668
R00835	C00092
R02736	C01172
R10907	C01172
R01616	C00811
R01943	C01197
R02194	C01494
R02221	C00482
R02255	C00423
R06583	C05619
R04756	C05280
R06983	C14180
R10159	C00662
R01312	C00157
R02027	C00344
R02052	C00350
R03332	C01194
R07381	C04756
R02855	C00810
R02946	C03044
R02425	C02350
R01811	C00270
R12768	C22382
R02173	C00007
R02173	C00398
R02532	C00007
R02532	C00547
R02908	C00007
R02908	C00780
R02919	C00007
R02919	C00788
R04025	C00007
R04025	C02714
R04674	C00007
R04674	C05127
R04890	C00007
R04890	C05587
R04893	C00007
R04893	C05589
R04894	C00007
R04894	C05588
R04907	C00007
R04907	C05636
R04908	C00007
R04908	C05638
R08346	C00007
R08346	C07572
R08347	C00007
R08347	C16608
R08348	C00007
R08348	C16609
R11354	C00007
R11354	C21299
R00006	C00900
R00226	C06010
R03050	C00068
R03050	C00900
R04672	C00068
R04672	C06010
R04673	C00109
R04673	C05125
R08648	C00022
R08648	C00109
R00475	C00007
R00475	C00160
R02754	C00679
R03277	C00022
R03277	C01146
R01365	C00136
R01365	C00164
R06954	C13453
R01183	C00137
R09951	C19891
R12092	C00320
R12092	C01005
R07417	C15700
R07418	C15700
R11625	C19706
R01782	C03826
R11585	C03434
R03051	C00900
R04439	C04272
R04440	C04272
R05068	C06007
R05069	C06006
R05071	C06010
R00711	C00084
R07202	C00007
R07202	C03024
R07202	C06082
R02964	C00828
R03643	C01628
R03816	C02059
R00697	C00079
R02268	C00427
R02016	C00342
R03596	C01528
R09372	C18902
R01851	C00007
R01851	C00409
R04424	C02225
R04405	C00155
R04405	C04489
R09365	C04489
R09365	C05698
R00910	C00047
R00910	C00099
R00912	C00062
R00912	C00099
R01164	C00099
R01164	C00135
R01991	C00135
