Metabolite ID,Name,Formula/Composition,Compartment
C05756,3-Oxododecanoyl-[acp],C12H21O2SR,Cytosol
C16219,3-Oxostearoyl-[acp],C18H33O2SR,Cytosol
C16220,(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],C18H35O2SR,Cytosol
C20372,3-Ketoglutaryl-[acp] methyl ester,C6H7O4SR,Cytosol
C20373,3-Hydroxyglutaryl-[acp] methyl ester,C6H9O4SR,Cytosol
C20376,3-Ketopimeloyl-[acp] methyl ester,C8H11O4SR,Cytosol
C20377,3-Hydroxypimeloyl-[acp] methyl ester,C8H13O4SR,Cytosol
C00083,Malonyl-CoA,C24H38N7O19P3S,Cytosol
C05223,Dodecanoyl-[acyl-carrier protein],C12H23OSR,Cytosol
C00059,Sulfate,H2SO4,Cytosol
C00067,Formaldehyde,CH2O,Cytosol
C00632,3-Hydroxyanthranilate,C7H7NO3,Cytosol
C05640,Cinnavalininate,C14H8N2O6,Cytosol
C00704,Superoxide,O2,Cytosol
C00468,Estrone,C18H22O2,Cytosol
C05300,16alpha-Hydroxyestrone,C18H22O3,Cytosol
C01227,Dehydroepiandrosterone,C19H28O2,Cytosol
C05139,16alpha-Hydroxydehydroepiandrosterone,C19H28O3,Cytosol
C07047,Ifosfamide,C7H15Cl2N2O2P,Cytosol
C16550,Dechloroethylcyclophosphamide,C5H12ClN2O2P,Cytosol
C06754,Chloroacetaldehyde,C2H3ClO,Cytosol
C16555,2-Dechloroethylifosfamide,C5H12ClN2O2P,Cytosol
C00777,Retinoate,C20H28O2,Cytosol
C03024,[Reduced NADPH---hemoprotein reductase],,Cytosol
C16679,all-trans-18-Hydroxyretinoic acid,C20H28O3,Cytosol
C03161,[Oxidized NADPH---hemoprotein reductase],,Cytosol
C16680,"all-trans-5,6-Epoxyretinoic acid",C20H28O3,Cytosol
C16677,all-trans-4-Hydroxyretinoic acid,C20H28O3,Cytosol
C06800,Aflatoxin B1,C17H12O6,Cytosol
C19585,Aflatoxin Q1,C17H12O7,Cytosol
C19586,"Aflatoxin B1-exo-8,9-epoxide",C17H12O7,Cytosol
C00153,Nicotinamide,C6H6N2O,Cytosol
C00253,Nicotinate,C6H5NO2,Cytosol
C00198,"D-Glucono-1,5-lactone",C6H10O6,Cytosol
C00257,D-Gluconic acid,C6H12O7,Cytosol
C01040,"L-Gulono-1,4-lactone",C6H10O6,Cytosol
C00800,L-Gulonate,C6H12O7,Cytosol
C01880,epsilon-Caprolactone,C6H10O2,Cytosol
C06103,6-Hydroxyhexanoic acid,C6H12O3,Cytosol
C00217,D-Glutamate,C5H9NO4,Cytosol
C00081,ITP,C10H15N4O14P3,Cytosol
C00700,XTP,C10H15N4O15P3,Cytosol
C01345,dITP,C10H15N4O13P3,Cytosol
C06196,2'-Deoxyinosine 5'-phosphate,C10H13N4O7P,Cytosol
C16617,6-Mercaptopurine ribonucleoside triphosphate,C10H15N4O13P3S,Cytosol
C00106,Uracil,C4H4N2O2,Cytosol
C01168,Pseudouridine 5'-phosphate,C9H13N2O9P,Cytosol
C00355,"3,4-Dihydroxy-L-phenylalanine",C9H11NO4,Cytosol
C17758,"4,5-seco-Dopa",C9H11NO6,Cytosol
C01586,Hippurate,C9H9NO3,Cytosol
C00180,Benzoate,C7H6O2,Cytosol
C21485,Cytidylyl molybdenum cofactor,C19H24MoN8O15P2S2,Cytosol
C00366,Urate,C5H4N4O3,Cytosol
C00077,L-Ornithine,C5H12N2O2,Cytosol
C00121,D-Ribose,C5H10O5,Cytosol
C00673,2-Deoxy-D-ribose 5-phosphate,C5H11O7P,Cytosol
C01801,Deoxyribose,C5H10O4,Cytosol
C04039,"2,3-Dihydroxy-3-methylbutanoate",C5H10O4,Cytosol
C04272,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H10O4,Cytosol
C06007,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H12O4,Cytosol
C00671,(S)-3-Methyl-2-oxopentanoic acid,C6H10O3,Cytosol
C00378,Thiamine,C12H17N4OS,Cytosol
C04294,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,Cytosol
C20267,4-Amino-5-aminomethyl-2-methylpyrimidine,C6H10N4,Cytosol
C00032,Heme,C34H32FeN4O4,Cytosol
C00448,"trans,trans-Farnesyl diphosphate",C15H28O7P2,Cytosol
C15672,Heme O,C49H58FeN4O5,Cytosol
C01011,(3S)-Citramalyl-CoA,C26H42N7O20P3S,Cytosol
C00490,Itaconate,C5H6O4,Cytosol
C00531,Itaconyl-CoA,C26H40N7O19P3S,Cytosol
C02614,(S)-2-Methylmalate,C5H8O5,Cytosol
C02505,2-Phenylacetamide,C8H9NO,Cytosol
C07086,Phenylacetic acid,C8H8O2,Cytosol
C02693,(Indol-3-yl)acetamide,C10H10N2O,Cytosol
C00954,Indole-3-acetate,C10H9NO2,Cytosol
C03078,4-Guanidinobutanamide,C5H12N4O,Cytosol
C01035,4-Guanidinobutanoate,C5H11N3O2,Cytosol
C03620,Monocarboxylic acid amide,CH2NOR,Cytosol
C00060,Carboxylate,CO2R,Cytosol
C00511,Acrylic acid,C3H4O2,Cytosol
C01659,Acrylamide,C3H5NO,Cytosol
C09815,Benzamide,C7H7NO,Cytosol
C02962,D-Allose 6-phosphate,C6H13O9P,Cytosol
C18096,D-Allulose 6-phosphate,C6H13O9P,Cytosol
C00101,Tetrahydrofolate,C19H23N7O6,Cytosol
C09332,THF-L-glutamate,C24H30N8O9,Cytosol
C00415,Dihydrofolate,C19H21N7O6,Cytosol
C03541,THF-polyglutamate,C24H30N8O9(C5H7NO3)n-2,Cytosol
C11038,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate,C10H17N3O11P2,Cytosol
C11039,2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate,C10H18N3O14P3,Cytosol
C00454,NDP,C5H11O10P2R,Cytosol
C00201,Nucleoside triphosphate,C5H12O13P3R,Cytosol
C00104,IDP,C10H14N4O11P2,Cytosol
C00131,dATP,C10H16N5O12P3,Cytosol
C00286,dGTP,C10H16N5O13P3,Cytosol
C00458,dCTP,C9H16N3O13P3,Cytosol
C00460,dUTP,C9H15N2O14P3,Cytosol
C01344,dIDP,C10H14N4O10P2,Cytosol
C21748,5-Fluorouridine diphosphate,C9H13FN2O12P2,Cytosol
C21749,5-Fluorouridine triphosphate,C9H14FN2O15P3,Cytosol
C21750,5-Fluorodeoxyuridine diphosphate,C9H13FN2O11P2,Cytosol
C21751,5-Fluorodeoxyuridine triphosphate,C9H14FN2O14P3,Cytosol
C22442,dZDP,C10H16N6O9P2,Cytosol
C22443,dZTP,C10H17N6O12P3,Cytosol
C01996,Acetylcholine,C7H16NO2,Cytosol
C03287,L-Glutamyl 5-phosphate,C5H10NO7P,Cytosol
C01165,L-Glutamate 5-semialdehyde,C5H9NO3,Cytosol
C01102,O-Phospho-L-homoserine,C4H10NO6P,Cytosol
C06056,4-Hydroxy-L-threonine,C4H9NO4,Cytosol
C06032,D-erythro-3-Methylmalate,C5H8O5,Cytosol
C04411,"(2R,3S)-3-Isopropylmalate",C7H12O5,Cytosol
C04236,(2S)-2-Isopropyl-3-oxosuccinate,C7H10O5,Cytosol
C00233,4-Methyl-2-oxopentanoate,C6H10O3,Cytosol
C04593,"(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate",C7H10O7,Cytosol
C00311,Isocitrate,C6H8O7,Cytosol
C18091,Ethylnitronate,C2H4NO2,Cytosol
C00084,Acetaldehyde,C2H4O,Cytosol
C00061,FMN,C17H21N4O9P,Cytosol
C00349,2-Methyl-3-oxopropanoate,C4H6O3,Cytosol
C05668,3-Hydroxypropionyl-CoA,C24H40N7O18P3S,Cytosol
C06000,(S)-3-Hydroxyisobutyryl-CoA,C25H42N7O18P3S,Cytosol
C00224,Adenylyl sulfate,C10H14N5O10PS,Cytosol
C00053,3'-Phosphoadenylyl sulfate,C10H15N5O13P2S,Cytosol
C05686,Adenylylselenate,C10H14N5O10PSe,Cytosol
C05696,3'-Phosphoadenylylselenate,C10H15N5O13P2Se,Cytosol
C05697,Selenate,H2SeO4,Cytosol
C00054,"Adenosine 3',5'-bisphosphate",C10H15N5O10P2,Cytosol
C01528,Hydrogen selenide,H2Se,Cytosol
C05684,Selenite,SeO3,Cytosol
C00330,Deoxyguanosine,C10H13N5O4,Cytosol
C00536,Triphosphate,H5P3O10,Cytosol
C00195,N-Acylsphingosine,C19H36NO3R,Cytosol
C00319,Sphingosine,C18H37NO2,Cytosol
C12126,Dihydroceramide,C19H38NO3R,Cytosol
C00836,Sphinganine,C18H39NO2,Cytosol
C12145,Phytoceramide,C19H38NO4R,Cytosol
C12144,Phytosphingosine,C18H39NO3,Cytosol
C00683,(S)-Methylmalonyl-CoA,C25H40N7O19P3S,Cytosol
C04419,Carboxybiotin-carboxyl-carrier protein,C18H26N5O6SR2,Cytosol
C06250,Holo-[carboxylase],C17H27N5O4SR2,Cytosol
C00173,Acyl-[acyl-carrier protein],C3H4OSR2,Cytosol
C01209,Malonyl-[acyl-carrier protein],C3H3O3SR,Cytosol
C00229,Acyl-carrier protein,HSR,Cytosol
C03939,Acetyl-[acyl-carrier protein],C2H3OSR,Cytosol
C05745,Butyryl-[acp],C4H7OSR,Cytosol
C05749,Hexanoyl-[acp],C6H11OSR,Cytosol
C05752,Octanoyl-[acp],C8H15OSR,Cytosol
C05755,Decanoyl-[acp],C10H19OSR,Cytosol
C05761,Tetradecanoyl-[acp],C14H27OSR,Cytosol
C05764,Hexadecanoyl-[acp],C16H31OSR,Cytosol
C19673,Malonyl-[acp] methyl ester,C4H5O3SR,Cytosol
C20375,Glutaryl-[acp] methyl ester,C6H9O3SR,Cytosol
C02247,Anthraniloyl-CoA,C28H41N8O17P3S,Cytosol
C21873,2-Methylquinolin-4-ol,C10H9NO,Cytosol
C00068,Thiamin diphosphate,C12H19N4O7P2S,Cytosol
C05125,2-(alpha-Hydroxyethyl)thiamine diphosphate,C14H23N4O8P2S,Cytosol
C15972,Enzyme N6-(lipoyl)lysine,C8H14NOS2R,Cytosol
C16255,[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,C10H18NO2S2R,Cytosol
C00353,Geranylgeranyl diphosphate,C20H36O7P2,Cytosol
C04691,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H13O10P,Cytosol
C01879,5-Oxoproline,C5H7NO3,Cytosol
C06507,Adenosyl cobyrinate hexaamide,C55H77CoN15O11,Cytosol
C04122,D-1-Aminopropan-2-ol O-phosphate,C3H10NO4P,Cytosol
C06509,Adenosyl cobinamide phosphate,C58H85CoN16O14P,Cytosol
C03194,(R)-1-Aminopropan-2-ol,C3H9NO,Cytosol
C06508,Adenosyl cobinamide,C58H84CoN16O11,Cytosol
C04778,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",C14H19N2O7P,Cytosol
C05775,alpha-Ribazole,C14H18N2O4,Cytosol
C00143,"5,10-Methylenetetrahydrofolate",C20H23N7O6,Cytosol
C00966,2-Dehydropantoate,C6H10O4,Cytosol
C16236,[Protein]-N6-(octanoyl)-L-lysine,C8H16NOR,Cytosol
C22154,[Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster,,Cytosol
C22150,Reduced [2Fe-2S] ferredoxin,,Cytosol
C16832,[Protein]-N6-[(R)-dihydrolipoyl]-L-lysine,C8H16NOS2R,Cytosol
C22155,[Fe-S] cluster scaffold protein,,Cytosol
C22151,Oxidized [2Fe-2S] ferredoxin,,Cytosol
C22160,[Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine,C8H16NOR,Cytosol
C15973,Enzyme N6-(dihydrolipoyl)lysine,C8H16NOS2R,Cytosol
C22159,[Glycine cleavage system H]-N6-octanoyl-L-lysine,C8H16NOR,Cytosol
C02972,Dihydrolipoylprotein,C8H16NOS2R,Cytosol
C16240,[Lipoyl-carrier protein]-L-lysine,NH2R,Cytosol
C16239,Lipoyl-[acp],C8H13OS3R,Cytosol
C16237,Protein N6-(lipoyl)lysine,C8H14NOS2R,Cytosol
C22158,Lipoyl-carrier protein E2,NH2R,Cytosol
C22157,Glycine cleavage system H,NH2R,Cytosol
C00630,2-Methylpropanoyl-CoA,C25H42N7O17P3S,Cytosol
C02939,3-Methylbutanoyl-CoA,C26H44N7O17P3S,Cytosol
C00579,Dihydrolipoamide,C8H17NOS2,Cytosol
C00248,Lipoamide,C8H15NOS2,Cytosol
C00322,2-Oxoadipate,C6H8O5,Cytosol
C00527,Glutaryl-CoA,C26H42N7O19P3S,Cytosol
C15980,(S)-2-Methylbutanoyl-CoA,C26H44N7O17P3S,Cytosol
C02051,Lipoylprotein,C8H14NOS2R,Cytosol
C00123,L-Leucine,C6H13NO2,Cytosol
C00183,L-Valine,C5H11NO2,Cytosol
C00407,L-Isoleucine,C6H13NO2,Cytosol
C17211,2-Oxo-5-methylthiopentanoic acid,C6H10O3S,Cytosol
C17213,Homomethionine,C6H13NO2S,Cytosol
C00161,2-Oxo acid,C2HO3R,Cytosol
C17216,2-Oxo-6-methylthiohexanoic acid,C7H12O3S,Cytosol
C17217,Dihomomethionine,C7H15NO2S,Cytosol
C02356,(S)-2-Aminobutanoate,C4H9NO2,Cytosol
C00194,Cobamide coenzyme,C72H100CoN18O17P,Cytosol
C06510,Adenosine-GDP-cobinamide,C68H97CoN21O21P2,Cytosol
C21153,Adenosylcobalamin 5'-phosphate,C72H101CoN18O20P2,Cytosol
C00212,Adenosine,C10H13N5O4,Cytosol
C00369,Starch,(C12H20O10)n,Cytosol
C00721,Dextrin,(C12H20O10)n,Cytosol
C00208,Maltose,C12H22O11,Cytosol
C01935,Maltodextrin,H2O(C6H10O5)n,Cytosol
C00021,S-Adenosyl-L-homocysteine,C14H20N6O5S,Cytosol
C03172,S-Methyl-L-methionine,C6H14NO2S,Cytosol
C04302,N-(5-Phospho-D-ribosyl)anthranilate,C12H16NO9P,Cytosol
C00638,Long-chain fatty acid,C3H5O2R,Cytosol
C02843,Long-chain acyl-CoA,C23H38N7O17P3S(CH2)2n,Cytosol
C00249,Hexadecanoic acid,C16H32O2,Cytosol
C00416,Phosphatidate,C5H7O8PR2,Cytosol
C00681,1-Acyl-sn-glycerol 3-phosphate,C4H8O7PR,Cytosol
C00040,Acyl-CoA,C22H35N7O17P3SR,Cytosol
C01097,D-Tagatose 6-phosphate,C6H13O9P,Cytosol
C03785,"D-Tagatose 1,6-bisphosphate",C6H14O12P2,Cytosol
C16144,"4,4'-Diapophytoene",C30H48,Cytosol
C16145,"4,4'-Diaponeurosporene",C30H42,Cytosol
C19797,"4,4'-Diapolycopene",C30H40,Cytosol
C19840,"4,4'-Diapophytofluene",C30H46,Cytosol
C19841,"4,4'-Diapo-zeta-carotene",C30H44,Cytosol
C00440,5-Methyltetrahydrofolate,C20H25N7O6,Cytosol
C01127,4-Hydroxy-2-oxoglutarate,C5H6O6,Cytosol
C04442,2-Dehydro-3-deoxy-6-phospho-D-gluconate,C6H11O9P,Cytosol
C00118,D-Glyceraldehyde 3-phosphate,C3H7O6P,Cytosol
C17324,tRNA adenine,C10H14N5O7P(C5H8O6PR)n(C5H8O6PR)n,Cytosol
C04432,tRNA containing 6-isopentenyladenosine,C15H22N5O7P(C5H8O6PR)n(C5H8O6PR)n,Cytosol
C00680,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,Cytosol
C00842,dTDP-glucose,C16H26N2O16P2,Cytosol
C02097,dTDP-galactose,C16H26N2O16P2,Cytosol
C00177,Cyanide ion,CN,Cytosol
C01755,Thiocyanate,CHNS,Cytosol
C00957,Mercaptopyruvate,C3H4O3S,Cytosol
C00404,Polyphosphate,H4P2O7(HPO3)n,Cytosol
C01172,beta-D-Glucose 6-phosphate,C6H13O9P,Cytosol
C01177,Inositol 1-phosphate,C6H13O9P,Cytosol
C00137,myo-Inositol,C6H12O6,Cytosol
C03546,myo-Inositol 4-phosphate,C6H13O9P,Cytosol
C04006,1D-myo-Inositol 3-phosphate,C6H13O9P,Cytosol
C04242,5-Fluorodeoxyuridine monophosphate,C9H12FN2O8P,Cytosol
C01144,(S)-3-Hydroxybutanoyl-CoA,C25H42N7O18P3S,Cytosol
C00877,Crotonoyl-CoA,C25H40N7O17P3S,Cytosol
C05262,(S)-3-Hydroxydodecanoyl-CoA,C33H58N7O18P3S,Cytosol
C03221,2-trans-Dodecenoyl-CoA,C33H56N7O17P3S,Cytosol
C05258,(S)-3-Hydroxyhexadecanoyl-CoA,C37H66N7O18P3S,Cytosol
C05259,3-Oxopalmitoyl-CoA,C37H64N7O18P3S,Cytosol
C05272,trans-Hexadec-2-enoyl-CoA,C37H64N7O17P3S,Cytosol
C05260,(S)-3-Hydroxytetradecanoyl-CoA,C35H62N7O18P3S,Cytosol
C05261,3-Oxotetradecanoyl-CoA,C35H60N7O18P3S,Cytosol
C05273,trans-Tetradec-2-enoyl-CoA,C35H60N7O17P3S,Cytosol
C05263,3-Oxododecanoyl-CoA,C33H56N7O18P3S,Cytosol
C05264,(S)-Hydroxydecanoyl-CoA,C31H54N7O18P3S,Cytosol
C05265,3-Oxodecanoyl-CoA,C31H52N7O18P3S,Cytosol
C05275,trans-Dec-2-enoyl-CoA,C31H52N7O17P3S,Cytosol
C05266,(S)-3-Hydroxyoctanoyl-CoA,C29H50N7O18P3S,Cytosol
C05267,3-Oxooctanoyl-CoA,C29H48N7O18P3S,Cytosol
C05276,trans-Oct-2-enoyl-CoA,C29H48N7O17P3S,Cytosol
C05268,(S)-Hydroxyhexanoyl-CoA,C27H46N7O18P3S,Cytosol
C05271,trans-Hex-2-enoyl-CoA,C27H44N7O17P3S,Cytosol
C16329,3-Hydroxy-OPC8-CoA,C39H64N7O19P3S,Cytosol
C16328,trans-2-Enoyl-OPC8-CoA,C39H62N7O18P3S,Cytosol
C16330,3-Oxo-OPC8-CoA,C39H62N7O19P3S,Cytosol
C16333,3-Hydroxy-OPC6-CoA,C37H60N7O19P3S,Cytosol
C16332,trans-2-Enoyl-OPC6-CoA,C37H58N7O18P3S,Cytosol
C16334,3-Oxo-OPC6-CoA,C37H58N7O19P3S,Cytosol
C16337,3-Hydroxy-OPC4-CoA,C35H56N7O19P3S,Cytosol
C16336,trans-2-Enoyl-OPC4-CoA,C35H54N7O18P3S,Cytosol
C16338,3-Oxo-OPC4-CoA,C35H54N7O19P3S,Cytosol
C03344,2-Methylacetoacetyl-CoA,C26H42N7O18P3S,Cytosol
C01944,Octanoyl-CoA,C29H50N7O17P3S,Cytosol
C01832,Lauroyl-CoA,C33H58N7O17P3S,Cytosol
C02593,Tetradecanoyl-CoA,C35H62N7O17P3S,Cytosol
C05337,Chenodeoxycholoyl-CoA,C45H74N7O19P3S,Cytosol
C04644,"3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C48H80N7O19P3S,Cytosol
C05274,Decanoyl-CoA,C31H54N7O17P3S,Cytosol
C05270,Hexanoyl-CoA,C27H46N7O17P3S,Cytosol
C16331,OPC6-CoA,C37H60N7O18P3S,Cytosol
C16335,OPC4-CoA,C35H56N7O18P3S,Cytosol
C16339,(+)-7-Isojasmonic acid CoA,C33H52N7O18P3S,Cytosol
C16169,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA",C43H66N7O17P3S,Cytosol
C16376,"(6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenoyl-CoA",C45H68N7O18P3S,Cytosol
C16173,"(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA",C43H68N7O17P3S,Cytosol
C16389,"(6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapentaenoyl-CoA",C45H70N7O18P3S,Cytosol
C01051,Uroporphyrinogen III,C40H44N4O16,Cytosol
C03263,Coproporphyrinogen III,C36H44N4O8,Cytosol
C05766,Uroporphyrinogen I,C40H44N4O16,Cytosol
C05768,Coproporphyrinogen I,C36H44N4O8,Cytosol
C01079,Protoporphyrinogen IX,C34H40N4O4,Cytosol
C02191,Protoporphyrin,C34H34N4O4,Cytosol
C05770,Coproporphyrin III,C36H38N4O8,Cytosol
C21284,Fe-coproporphyrin III,C36H36FeN4O8,Cytosol
C01236,"D-Glucono-1,5-lactone 6-phosphate",C6H11O9P,Cytosol
C05116,3-Hydroxybutanoyl-CoA,C25H42N7O18P3S,Cytosol
C14145,(3S)-3-Hydroxyadipyl-CoA,C27H44N7O20P3S,Cytosol
C02232,3-Oxoadipyl-CoA,C27H42N7O20P3S,Cytosol
C06752,"1,2-Dichloroethane",C2H4Cl2,Cytosol
C06753,2-Chloroethanol,C2H5ClO,Cytosol
C01327,Hydrochloric acid,HCl,Cytosol
C06609,"trans-1,3-Dichloropropene",C3H4Cl2,Cytosol
C06611,trans-3-Chloro-2-propene-1-ol,C3H5ClO,Cytosol
C06610,"cis-1,3-Dichloropropene",C3H4Cl2,Cytosol
C06612,cis-3-Chloro-2-propene-1-ol,C3H5ClO,Cytosol
C06597,"1,3,4,6-Tetrachloro-1,4-cyclohexadiene",C6H4Cl4,Cytosol
C06598,"2,4,5-Trichloro-2,5-cyclohexadiene-1-ol",C6H5Cl3O,Cytosol
C06599,"2,5-Dichloro-2,5-cyclohexadiene-1,4-diol",C6H6Cl2O2,Cytosol
C06988,"beta-1,2,3,4,5,6-Hexachlorocyclohexane",C6H6Cl6,Cytosol
C16181,"beta-2,3,4,5,6-Pentachlorocyclohexanol",C6H7Cl5O,Cytosol
C16182,"beta-2,3,5,6-Tetrachloro-1,4-cyclohexanediol",C6H8Cl4O2,Cytosol
C04253,Electron-transferring flavoprotein,,Cytosol
C04570,Reduced electron-transferring flavoprotein,,Cytosol
C02411,Glutaconyl-1-CoA,C26H40N7O19P3S,Cytosol
C06153,scyllo-Inositol,C6H12O6,Cytosol
C00691,"2,4,6/3,5-Pentahydroxycyclohexanone",C6H10O6,Cytosol
C00227,Acetyl phosphate,C2H5O5P,Cytosol
C02876,Propanoyl phosphate,C3H7O5P,Cytosol
C13635,4-Hydroxyphenacyl alcohol,C8H8O3,Cytosol
C00156,4-Hydroxybenzoate,C7H6O3,Cytosol
C02565,N-Methylhydantoin,C4H6N2O2,Cytosol
C01043,N-Carbamoylsarcosine,C4H8N2O3,Cytosol
C00794,D-Sorbitol,C6H14O6,Cytosol
C00379,Xylitol,C5H12O5,Cytosol
C11874,Kaur-16-en-18-oic acid,C20H30O2,Cytosol
C11875,ent-7alpha-Hydroxykaur-16-en-19-oic acid,C20H30O3,Cytosol
C06093,Gibberellin A12 aldehyde,C20H28O3,Cytosol
C11876,"6beta,7beta-Dihydroxykaurenoic acid",C20H30O4,Cytosol
C11857,Gibberellin A12,C20H28O4,Cytosol
C00565,Trimethylamine,C3H9N,Cytosol
C01104,Trimethylamine N-oxide,C3H9NO,Cytosol
C00894,Propenoyl-CoA,C24H38N7O17P3S,Cytosol
C03561,(R)-3-Hydroxybutanoyl-CoA,C25H42N7O18P3S,Cytosol
C05998,3-Hydroxyisovaleryl-CoA,C26H44N7O18P3S,Cytosol
C03069,3-Methylcrotonyl-CoA,C26H42N7O17P3S,Cytosol
C04405,"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA",C26H44N7O18P3S,Cytosol
C03345,2-Methylbut-2-enoyl-CoA,C26H42N7O17P3S,Cytosol
C03460,2-Methylprop-2-enoyl-CoA,C25H40N7O17P3S,Cytosol
C06714,3-Hydroxypimeloyl-CoA,C28H46N7O20P3S,Cytosol
C06715,3-Oxopimeloyl-CoA,C28H44N7O20P3S,Cytosol
C11946,"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA",C31H50N7O17P3S,Cytosol
C11947,"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",C31H52N7O18P3S,Cytosol
C11945,"trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA",C31H50N7O17P3S,Cytosol
C16468,"(2E)-5-Methylhexa-2,4-dienoyl-CoA",C28H44N7O17P3S,Cytosol
C16469,3-Hydroxy-5-methylhex-4-enoyl-CoA,C28H46N7O18P3S,Cytosol
C16471,5-Methyl-3-oxo-4-hexenoyl-CoA,C28H44N7O18P3S,Cytosol
C00334,4-Aminobutanoate,C4H9NO2,Cytosol
C00232,Succinate semialdehyde,C4H6O3,Cytosol
C00433,"2,5-Dioxopentanoate",C5H6O4,Cytosol
C00071,Aldehyde,CHOR,Cytosol
C05665,3-Aminopropanal,C3H7NO,Cytosol
C00577,D-Glyceraldehyde,C3H6O3,Cytosol
C00258,D-Glycerate,C3H6O4,Cytosol
C00555,4-Aminobutyraldehyde,C4H9NO,Cytosol
C00637,Indole-3-acetaldehyde,C10H9NO,Cytosol
C05985,2-Propynal,C3H2O,Cytosol
C00804,Propynoate,C3H2O2,Cytosol
C02670,D-Glucuronolactone,C6H8O6,Cytosol
C00818,D-Glucarate,C6H10O8,Cytosol
C01149,4-Trimethylammoniobutanal,C7H16NO,Cytosol
C01181,4-Trimethylammoniobutanoate,C7H16NO2,Cytosol
C02170,Methylmalonate,C4H6O4,Cytosol
C05130,Imidazole-4-acetaldehyde,C5H6N2O,Cytosol
C02835,Imidazole-4-acetate,C5H6N2O2,Cytosol
C05445,"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al",C27H46O3,Cytosol
C04554,"3alpha,7alpha-Dihydroxy-5beta-cholestanate",C27H46O4,Cytosol
C05634,5-Hydroxyindoleacetaldehyde,C10H9NO2,Cytosol
C05635,5-Hydroxyindoleacetate,C10H9NO3,Cytosol
C05936,N4-Acetylaminobutanal,C6H11NO2,Cytosol
C02946,4-Acetamidobutanoate,C6H11NO3,Cytosol
C06613,trans-3-Chloroallyl aldehyde,C3H3ClO,Cytosol
C06614,trans-3-Chloroacrylic acid,C3H3ClO2,Cytosol
C16348,cis-3-Chloroallyl aldehyde,C3H3ClO,Cytosol
C06615,cis-3-Chloroacrylic acid,C3H3ClO2,Cytosol
C06755,Chloroacetic acid,C2H3ClO2,Cytosol
C02576,Perillyl aldehyde,C10H14O,Cytosol
C11924,Perillic acid,C10H14O2,Cytosol
C03461,"2-trans,6-trans-Farnesal",C15H24O,Cytosol
C16502,Farnesoic acid,C15H24O2,Cytosol
C15547,"1,4-Dihydroxy-2-naphthoyl-CoA",C32H42N7O19P3S,Cytosol
C03657,"1,4-Dihydroxy-2-naphthoate",C11H8O4,Cytosol
C06098,Zeaxanthin,C40H56O2,Cytosol
C08579,Antheraxanthin,C40H56O3,Cytosol
C08614,Violaxanthin,C40H56O4,Cytosol
C00576,Betaine aldehyde,C5H12NO,Cytosol
C00719,Betaine,C5H11NO2,Cytosol
C00483,Tyramine,C8H11NO,Cytosol
C03765,4-Hydroxyphenylacetaldehyde,C8H8O2,Cytosol
C01888,Aminoacetone,C3H7NO,Cytosol
C00546,Methylglyoxal,C3H4O2,Cytosol
C05332,Phenethylamine,C8H11N,Cytosol
C00601,Phenylacetaldehyde,C8H8O,Cytosol
C00986,"1,3-Diaminopropane",C3H10N2,Cytosol
C02723,N-Methylputrescine,C5H14N2,Cytosol
C06178,1-Methylpyrrolinium,C5H10N,Cytosol
C03758,Dopamine,C8H11NO2,Cytosol
C04043,"3,4-Dihydroxyphenylacetaldehyde",C8H8O3,Cytosol
C00218,Methylamine,CH5N,Cytosol
C12455,5-Aminopentanal,C5H11NO,Cytosol
C00506,L-Cysteate,C3H7NO5S,Cytosol
C00606,3-Sulfino-L-alanine,C3H7NO4S,Cytosol
C00519,Hypotaurine,C2H7NO2S,Cytosol
C00246,Butanoic acid,C4H8O2,Cytosol
C16272,3-Hydroxy-5-oxohexanoate,C6H10O4,Cytosol
C16273,3-Hydroxy-5-oxohexanoyl-CoA,C27H44N7O19P3S,Cytosol
