Metabolite ID,Name,Formula/Composition,Compartment
C18310,3-Chloro-2-methylmaleylacetate,C7H7ClO5,Cytosol
C18304,2-Chloro-5-methyl-cis-dienelactone,C7H5ClO4,Cytosol
C18305,2-Chloro-5-methylmaleylacetate,C7H7ClO5,Cytosol
C00002,ATP,C10H16N5O13P3,Cytosol
C00164,Acetoacetate,C4H6O3,Cytosol
C00010,CoA,C21H36N7O16P3S,Cytosol
C00020,AMP,C10H14N5O7P,Cytosol
C00013,Diphosphate,H4P2O7,Cytosol
C00332,Acetoacetyl-CoA,C25H40N7O18P3S,Cytosol
C02504,alpha-Isopropylmalate,C7H12O5,Cytosol
C00024,Acetyl-CoA,C23H38N7O17P3S,Cytosol
C00141,3-Methyl-2-oxobutanoic acid,C5H8O3,Cytosol
C00049,L-Aspartate,C4H7NO4,Cytosol
C00008,ADP,C10H15N5O10P2,Cytosol
C03082,4-Phospho-L-aspartate,C4H8NO7P,Cytosol
C00441,L-Aspartate 4-semialdehyde,C4H7NO3,Cytosol
C00243,Lactose,C12H22O11,Cytosol
C00267,alpha-D-Glucose,C6H12O6,Cytosol
C00124,D-Galactose,C6H12O6,Cytosol
C01290,Lactosylceramide,C31H56NO13R,Cytosol
C01190,Glucosylceramide,C25H46NO8R,Cytosol
C04911,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide,C56H96N3O31R,Cytosol
C04884,N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide,C50H86N3O26R,Cytosol
C06136,GA1,C45H79N2O23R,Cytosol
C06135,GA2,C39H69N2O18R,Cytosol
G00124,Glycan,(Gal)2 (GalNAc)1 (Glc)1 (Cer)1,Cytosol
G00123,Glycan,(Gal)1 (GalNAc)1 (Glc)1 (Cer)1,Cytosol
G00110,Glycan,(Gal)2 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1,Cytosol
G00109,Glycan,(Gal)1 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1,Cytosol
G01977,Glycan,(Gal)2 (GlcNAc)2 (S)2,Cytosol
G13073,Glycan,(Gal)1 (GlcNAc)2 (S)2,Cytosol
C00033,Acetate,C2H4O2,Cytosol
C05993,Acetyl adenylate,C12H16N5O8P,Cytosol
C00163,Propanoate,C3H6O2,Cytosol
C00100,Propanoyl-CoA,C24H40N7O17P3S,Cytosol
C05983,Propionyladenylate,C13H18N5O8P,Cytosol
C00256,(R)-Lactate,C3H6O3,Cytosol
C00357,N-Acetyl-D-glucosamine 6-phosphate,C8H16NO9P,Cytosol
C16698,N-Acetylmuramic acid 6-phosphate,C11H20NO11P,Cytosol
C01674,Chitobiose,C16H28N2O11,Cytosol
C00140,N-Acetyl-D-glucosamine,C8H15NO6,Cytosol
G00711,Glycan,(GlcA)1 (GlcNAc)2,Cytosol
G10008,Glycan,(GlcA)1 (GlcNAc)1,Cytosol
C00130,IMP,C10H13N4O8P,Cytosol
C00262,Hypoxanthine,C5H4N4O,Cytosol
C00119,5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,Cytosol
C00144,GMP,C10H14N5O8P,Cytosol
C00242,Guanine,C5H5N5O,Cytosol
C00655,Xanthosine 5'-phosphate,C10H13N4O9P,Cytosol
C00385,Xanthine,C5H4N4O2,Cytosol
C02380,6-Mercaptopurine,C5H4N4S,Cytosol
C04646,6-Thioinosine-5'-monophosphate,C10H13N4O7PS,Cytosol
C16614,6-Methylmercaptopurine,C6H6N4S,Cytosol
C16615,6-Methylthiopurine 5'-monophosphate ribonucleotide,C11H15N4O7PS,Cytosol
C07648,Thioguanine,C5H5N5S,Cytosol
C16619,6-Thioguanosine monophosphate,C10H14N5O7PS,Cytosol
C00044,GTP,C10H16N5O14P3,Cytosol
C00058,Formate,CH2O2,Cytosol
C05922,Formamidopyrimidine nucleoside triphosphate,C10H18N5O15P3,Cytosol
C06148,"2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",C9H18N5O14P3,Cytosol
C05923,"2,5-Diaminopyrimidine nucleoside triphosphate",C9H18N5O14P3,Cytosol
C01300,"6-(Hydroxymethyl)-7,8-dihydropterin",C7H9N5O2,Cytosol
C00568,4-Aminobenzoate,C7H7NO2,Cytosol
C00921,Dihydropteroate,C14H14N6O3,Cytosol
C04807,"6-Hydroxymethyl-7,8-dihydropterin diphosphate",C7H11N5O8P2,Cytosol
C00266,Glycolaldehyde,C2H4O2,Cytosol
C21065,"7,8-Dihydroxanthopterin",C6H7N5O2,Cytosol
C21008,"7,8-Dihydromonapterin",C9H13N5O4,Cytosol
C00522,(R)-Pantoate,C6H12O4,Cytosol
C00099,beta-Alanine,C3H7NO2,Cytosol
C00864,Pantothenate,C9H17NO5,Cytosol
C00831,Pantetheine,C11H22N2O4S,Cytosol
C01134,Pantetheine 4'-phosphate,C11H23N2O7PS,Cytosol
C03492,D-4'-Phosphopantothenate,C9H18NO8P,Cytosol
C04079,N-((R)-Pantothenoyl)-L-cysteine,C12H22N2O6S,Cytosol
C04352,(R)-4'-Phosphopantothenoyl-L-cysteine,C12H23N2O9PS,Cytosol
C11434,2-C-Methyl-D-erythritol 4-phosphate,C5H13O7P,Cytosol
C00063,CTP,C9H16N3O14P3,Cytosol
C11435,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H25N3O14P2,Cytosol
C11436,2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H26N3O17P3,Cytosol
C11453,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",C5H12O9P2,Cytosol
C00055,CMP,C9H14N3O8P,Cytosol
C03283,"L-2,4-Diaminobutanoate",C4H10N2O2,Cytosol
C00461,Chitin,(C8H13NO5)n,Cytosol
C00668,alpha-D-Glucose 6-phosphate,C6H13O9P,Cytosol
C00015,UDP,C9H14N2O12P2,Cytosol
C00689,"alpha,alpha'-Trehalose 6-phosphate",C12H23O14P,Cytosol
C00498,ADP-glucose,C16H25N5O15P2,Cytosol
C00092,D-Glucose 6-phosphate,C6H13O9P,Cytosol
C01083,"alpha,alpha-Trehalose",C12H22O11,Cytosol
C01137,S-Adenosylmethioninamine,C14H23N6O3S,Cytosol
C00134,Putrescine,C4H12N2,Cytosol
C00170,5'-Methylthioadenosine,C11H15N5O3S,Cytosol
C00315,Spermidine,C7H19N3,Cytosol
C01672,Cadaverine,C5H14N2,Cytosol
C16565,Aminopropylcadaverine,C8H21N3,Cytosol
C20258,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate",C7H9NO5,Cytosol
C00085,D-Fructose 6-phosphate,C6H13O9P,Cytosol
C00352,D-Glucosamine 6-phosphate,C6H14NO8P,Cytosol
C04752,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate,C6H11N3O7P2,Cytosol
C04327,4-Methyl-5-(2-phosphooxyethyl)thiazole,C6H10NO4PS,Cytosol
C01081,Thiamin monophosphate,C12H18N4O4PS,Cytosol
C20247,2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate,C7H10NO6PS,Cytosol
C00037,Glycine,C2H5NO2,Cytosol
C15809,Iminoglycine,C2H3NO2,Cytosol
C00027,Hydrogen peroxide,H2O2,Cytosol
C11437,1-Deoxy-D-xylulose 5-phosphate,C5H11O7P,Cytosol
C15814,Thiocarboxy-[sulfur-carrier protein],C4H7N2O2SR,Cytosol
C20246,"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate",C7H10NO6PS,Cytosol
C15810,Sulfur-carrier protein,C4H7N2O3R,Cytosol
C01279,4-Amino-5-hydroxymethyl-2-methylpyrimidine,C6H9N3O,Cytosol
C04556,4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,C6H10N3O4P,Cytosol
C03373,Aminoimidazole ribotide,C8H14N3O7P,Cytosol
C00019,S-Adenosyl-L-methionine,C15H22N6O5S,Cytosol
C05198,5'-Deoxyadenosine,C10H13N5O3,Cytosol
C00073,L-Methionine,C5H11NO2S,Cytosol
C00237,CO,CO,Cytosol
C00269,CDP-diacylglycerol,C14H19N3O15P2R2,Cytosol
C00065,L-Serine,C3H7NO3,Cytosol
C02737,Phosphatidylserine,C8H12NO10PR2,Cytosol
C00350,Phosphatidylethanolamine,C7H12NO8PR2,Cytosol
C19848,Adenylated molybdopterin,C20H26N10O12P2S2,Cytosol
C06232,Molybdate,H2MoO4,Cytosol
C18237,Molybdoenzyme molybdenum cofactor,C10H12MoN5O8PS2,Cytosol
C02730,2-Succinylbenzoate,C11H10O5,Cytosol
C05817,"(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",C11H12O6,Cytosol
C02137,alpha-Oxo-benzeneacetic acid,C8H6O3,Cytosol
C00261,Benzaldehyde,C7H6O,Cytosol
C03590,4-Hydroxyphenylglyoxylate,C8H6O4,Cytosol
C00633,4-Hydroxybenzaldehyde,C7H6O2,Cytosol
C00149,(S)-Malate,C4H6O5,Cytosol
C21310,"(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate",C10H16N5O14P3,Cytosol
C18239,Precursor Z,C10H14N5O8P,Cytosol
C00030,Reduced acceptor,,Cytosol
C00028,Acceptor,,Cytosol
C00206,dADP,C10H15N5O9P2,Cytosol
C00343,Thioredoxin disulfide,C10H12N4O4S2R4,Cytosol
C00342,Thioredoxin,C10H14N4O4S2R4,Cytosol
C01346,dUDP,C9H14N2O11P2,Cytosol
C00361,dGDP,C10H15N5O10P2,Cytosol
C00035,GDP,C10H15N5O11P2,Cytosol
C00705,dCDP,C9H15N3O10P2,Cytosol
C00112,CDP,C9H15N3O11P2,Cytosol
C00988,2-Phosphoglycolate,C2H5O6P,Cytosol
C00160,Glycolate,C2H4O3,Cytosol
C01005,O-Phospho-L-serine,C3H8NO6P,Cytosol
C03232,3-Phosphonooxypyruvate,C3H5O7P,Cytosol
C06055,O-Phospho-4-hydroxy-L-threonine,C4H10NO7P,Cytosol
C06054,2-Oxo-3-hydroxy-4-phosphobutanoate,C4H7O8P,Cytosol
C00158,Citrate,C6H8O7,Cytosol
C00036,Oxaloacetate,C4H4O5,Cytosol
C00086,Urea,CH4N2O,Cytosol
C00288,HCO3-,HCO3,Cytosol
C00647,Pyridoxamine phosphate,C8H13N2O5P,Cytosol
C00018,Pyridoxal phosphate,C8H10NO6P,Cytosol
C00627,Pyridoxine phosphate,C8H12NO6P,Cytosol
C00534,Pyridoxamine,C8H12N2O2,Cytosol
C00250,Pyridoxal,C8H9NO3,Cytosol
C00314,Pyridoxine,C8H11NO3,Cytosol
C00221,beta-D-Glucose,C6H12O6,Cytosol
C00984,alpha-D-Galactose,C6H12O6,Cytosol
C00095,D-Fructose,C6H12O6,Cytosol
C05345,beta-D-Fructose 6-phosphate,C6H13O9P,Cytosol
C02336,beta-D-Fructose,C6H12O6,Cytosol
C00016,FAD,C27H33N9O15P2,Cytosol
C00111,Glycerone phosphate,C3H7O6P,Cytosol
C01352,FADH2,C27H35N9O15P2,Cytosol
C03372,Acylglycerone phosphate,C4H6O7PR,Cytosol
C00339,Long-chain alcohol,CH3OR,Cytosol
C03715,O-Alkylglycerone phosphate,C3H6O6PR,Cytosol
C03129,Long-chain acid anion,C3H4O2R(C2H4)n,Cytosol
C01885,1-Acylglycerol,C4H7O4R,Cytosol
C00116,Glycerol,C3H8O3,Cytosol
C00162,Fatty acid,CHO2R,Cytosol
C00641,"1,2-Diacyl-sn-glycerol",C5H6O5R2,Cytosol
C06364,"1,2-Diacyl-3-alpha-D-glucosyl-sn-glycerol",C11H16O10R2,Cytosol
G10608,Glycan,(UDP-Glc)1,Cytosol
G13187,Glycan,(DAG)1 (Glc)1,Cytosol
C16519,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,C14H16O9,Cytosol
C20386,Biotin sulfoxide,C10H16N2O4S,Cytosol
C00120,Biotin,C10H16N2O3S,Cytosol
C01847,Reduced FMN,C17H23N4O9P,Cytosol
C03114,Dimethylbenzimidazole,C9H10N2,Cytosol
C00279,D-Erythrose 4-phosphate,C4H9O7P,Cytosol
C00446,alpha-D-Galactose 1-phosphate,C6H13O9P,Cytosol
C00103,D-Glucose 1-phosphate,C6H13O9P,Cytosol
C03479,Folinic acid,C20H23N7O7,Cytosol
C00445,"5,10-Methenyltetrahydrofolate",C20H22N7O6,Cytosol
C00075,UTP,C9H15N2O15P3,Cytosol
C03862,Dolichyl phosphate D-mannose,C26H47O9P(C5H8)n,Cytosol
C02189,[Protein]-L-serine,C4H6N2O3R2,Cytosol
C00110,Dolichyl phosphate,C20H37O4P(C5H8)n,Cytosol
C02863,3-O-(alpha-D-Mannosyl)-L-serinyl-[protein],C10H16N2O8R2,Cytosol
G10617,Glycan,(Man)1 (P-Dol)1,Cytosol
G10622,Glycan,(P-Dol)1,Cytosol
G13027,Glycan,(Man)1 (Ser/Thr)1,Cytosol
C19803,[Protein]-L-threonine,C5H8N2O3R2,Cytosol
C20722,3-O-(alpha-D-Mannosyl)-L-threonyl-[protein],C11H18N2O8R2,Cytosol
C11355,4-Amino-4-deoxychorismate,C10H11NO5,Cytosol
C01647,tRNA(Met),,Cytosol
C02430,L-Methionyl-tRNA,C20H30N6O11PSR(C5H8O6PR)n,Cytosol
C05335,L-Selenomethionine,C5H11NO2Se,Cytosol
C05336,Selenomethionyl-tRNA(Met),C20H30N6O11PSeR(C5H8O6PR)n,Cytosol
C01013,3-Hydroxypropanoate,C3H6O3,Cytosol
C00222,3-Oxopropanoate,C3H4O3,Cytosol
C00117,D-Ribose 5-phosphate,C5H11O8P,Cytosol
C04501,N-Acetyl-alpha-D-glucosamine 1-phosphate,C8H16NO9P,Cytosol
C00043,UDP-N-acetyl-alpha-D-glucosamine,C17H27N3O17P2,Cytosol
C06156,alpha-D-Glucosamine 1-phosphate,C6H14NO8P,Cytosol
C00412,Stearoyl-CoA,C39H70N7O17P3S,Cytosol
C00999,Ferrocytochrome b5,,Cytosol
C00510,Oleoyl-CoA,C39H68N7O17P3S,Cytosol
C00996,Ferricytochrome b5,,Cytosol
C00154,Palmitoyl-CoA,C37H66N7O17P3S,Cytosol
C21072,Palmitoleoyl-CoA,C37H64N7O17P3S,Cytosol
C00455,Nicotinamide D-ribonucleotide,C11H15N2O8P,Cytosol
C00105,UMP,C9H13N2O9P,Cytosol
C00857,Deamino-NAD+,C21H27N6O15P2,Cytosol
C01185,Nicotinate D-ribonucleotide,C11H15NO9P,Cytosol
C00882,Dephospho-CoA,C21H35N7O13P2S,Cytosol
C00459,dTTP,C10H17N2O14P3,Cytosol
C00364,dTMP,C10H15N2O8P,Cytosol
C00631,2-Phospho-D-glycerate,C3H7O7P,Cytosol
C00074,Phosphoenolpyruvate,C3H5O6P,Cytosol
C04494,Guanosine 3'-diphosphate 5'-triphosphate,C10H18N5O20P5,Cytosol
C01228,"Guanosine 3',5'-bis(diphosphate)",C10H17N5O17P4,Cytosol
C00152,L-Asparagine,C4H8N2O3,Cytosol
C00136,Butanoyl-CoA,C25H42N7O17P3S,Cytosol
C05269,3-Oxohexanoyl-CoA,C27H44N7O18P3S,Cytosol
C00283,Hydrogen sulfide,H2S,Cytosol
C00097,L-Cysteine,C3H7NO2S,Cytosol
C00155,L-Homocysteine,C4H9NO2S,Cytosol
C02291,L-Cystathionine,C7H14N2O4S,Cytosol
C05698,Selenohomocysteine,C4H9NO2Se,Cytosol
C05699,L-Selenocystathionine,C7H14N2O4Se,Cytosol
C01118,O-Succinyl-L-homoserine,C8H13NO6,Cytosol
C00109,2-Oxobutanoate,C4H6O3,Cytosol
C00042,Succinate,C4H6O4,Cytosol
C01077,O-Acetyl-L-homoserine,C6H11NO4,Cytosol
C00320,Thiosulfate,HS2O3,Cytosol
C00094,Sulfite,H2SO3,Cytosol
C00542,Cystathionine,C7H14N2O4S,Cytosol
C05702,O-Phosphorylhomoserine,C4H10NO6P,Cytosol
