Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID
C05726,S-Substituted L-cysteine,C3H6NO2SR,Cytosol,8029
C00088,Nitrite,HNO2,Cytosol,3388
C00244,Nitrate,HNO3,Cytosol,3543
C00125,Ferricytochrome c,C42H44FeN8O8S2R4,Cytosol,3425
C00126,Ferrocytochrome c,C42H44FeN8O8S2R4,Cytosol,3426
C15603,Hydroquinone,,Cytosol,17396595
C15602,Quinone,,Cytosol,17396594
C21113,NMNH,C11H17N2O8P,Cytosol,312642082
C00363,dTDP,C10H16N2O11P2,Cytosol,3654
C00365,dUMP,C9H13N2O8P,Cytosol,3656
C06001,(S)-3-Hydroxyisobutyrate,C4H8O3,Cytosol,8275
C06002,(S)-Methylmalonate semialdehyde,C4H6O3,Cytosol,8276
C06481,L-Seryl-tRNA(Sec),C13H22NO12PR2(C5H8O6PR)n,Cytosol,8712
C05172,Selenophosphoric acid,H3PO3Se,Cytosol,7583
C06482,L-Selenocysteinyl-tRNA(Sec),C13H22NO11PSeR2(C5H8O6PR)n,Cytosol,8713
C01271,(3R)-3-Hydroxyacyl-[acyl-carrier protein],C3H4O2SR2,Cytosol,4490
C00685,3-Oxoacyl-[acyl-carrier protein],C3H2O2SR2,Cytosol,3954
C04618,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein],C4H7O2SR,Cytosol,7208
C05744,Acetoacetyl-[acp],C4H5O2SR,Cytosol,8039
C04619,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein],C10H19O2SR,Cytosol,7209
C05753,3-Oxodecanoyl-[acp],C10H17O2SR,Cytosol,8048
C04620,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein],C8H15O2SR,Cytosol,7210
C05750,3-Oxooctanoyl-[acp],C8H13O2SR,Cytosol,8045
C04633,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein],C16H31O2SR,Cytosol,7222
C05762,3-Oxohexadecanoyl-[acp],C16H29O2SR,Cytosol,8057
C04688,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],C14H27O2SR,Cytosol,7269
C05759,3-Oxotetradecanoyl-[acp],C14H25O2SR,Cytosol,8054
C05747,(3R)-3-Hydroxyhexanoyl-[acyl-carrier protein],C6H11O2SR,Cytosol,8042
C05746,3-Oxohexanoyl-[acp],C6H9O2SR,Cytosol,8041
C05757,(3R)-3-Hydroxydodecanoyl-[acyl-carrier protein],C12H23O2SR,Cytosol,8052
C05756,3-Oxododecanoyl-[acp],C12H21O2SR,Cytosol,8051
C16219,3-Oxostearoyl-[acp],C18H33O2SR,Cytosol,47205527
C16220,(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],C18H35O2SR,Cytosol,47205528
C20372,3-Ketoglutaryl-[acp] methyl ester,C6H7O4SR,Cytosol,163312110
C20373,3-Hydroxyglutaryl-[acp] methyl ester,C6H9O4SR,Cytosol,163312111
C20376,3-Ketopimeloyl-[acp] methyl ester,C8H11O4SR,Cytosol,163312114
C20377,3-Hydroxypimeloyl-[acp] methyl ester,C8H13O4SR,Cytosol,163312115
C00083,Malonyl-CoA,C24H38N7O19P3S,Cytosol,3383
C05223,Dodecanoyl-[acyl-carrier protein],C12H23OSR,Cytosol,7620
C00059,Sulfate,H2SO4,Cytosol,3359
C00067,Formaldehyde,CH2O,Cytosol,3367
C00632,3-Hydroxyanthranilate,C7H7NO3,Cytosol,3905
C05640,Cinnavalininate,C14H8N2O6,Cytosol,7951
C00704,Superoxide,O2,Cytosol,3971
C00468,Estrone,C18H22O2,Cytosol,3751
C05300,16alpha-Hydroxyestrone,C18H22O3,Cytosol,7684
C01227,Dehydroepiandrosterone,C19H28O2,Cytosol,4449
C05139,16alpha-Hydroxydehydroepiandrosterone,C19H28O3,Cytosol,7558
C07047,Ifosfamide,C7H15Cl2N2O2P,Cytosol,9259
C16550,Dechloroethylcyclophosphamide,C5H12ClN2O2P,Cytosol,51090879
C06754,Chloroacetaldehyde,C2H3ClO,Cytosol,8975
C16555,2-Dechloroethylifosfamide,C5H12ClN2O2P,Cytosol,51090884
C00777,Retinoate,C20H28O2,Cytosol,4038
C03024,[Reduced NADPH---hemoprotein reductase],,Cytosol,5930
C16679,all-trans-18-Hydroxyretinoic acid,C20H28O3,Cytosol,51091002
C03161,[Oxidized NADPH---hemoprotein reductase],,Cytosol,6046
C16680,"all-trans-5,6-Epoxyretinoic acid",C20H28O3,Cytosol,51091003
C16677,all-trans-4-Hydroxyretinoic acid,C20H28O3,Cytosol,51091000
C06800,Aflatoxin B1,C17H12O6,Cytosol,9019
C19585,Aflatoxin Q1,C17H12O7,Cytosol,124490257
C19586,"Aflatoxin B1-exo-8,9-epoxide",C17H12O7,Cytosol,124490258
C00153,Nicotinamide,C6H6N2O,Cytosol,3453
C00253,Nicotinate,C6H5NO2,Cytosol,3552
C00198,"D-Glucono-1,5-lactone",C6H10O6,Cytosol,3498
C00257,D-Gluconic acid,C6H12O7,Cytosol,3556
C01040,"L-Gulono-1,4-lactone",C6H10O6,Cytosol,4282
C00800,L-Gulonate,C6H12O7,Cytosol,4058
C01880,epsilon-Caprolactone,C6H10O2,Cytosol,4993
C06103,6-Hydroxyhexanoic acid,C6H12O3,Cytosol,8367
C00217,D-Glutamate,C5H9NO4,Cytosol,3517
C00081,ITP,C10H15N4O14P3,Cytosol,3381
C00700,XTP,C10H15N4O15P3,Cytosol,3968
C01345,dITP,C10H15N4O13P3,Cytosol,4550
C06196,2'-Deoxyinosine 5'-phosphate,C10H13N4O7P,Cytosol,8446
C16617,6-Mercaptopurine ribonucleoside triphosphate,C10H15N4O13P3S,Cytosol,51090943
C00106,Uracil,C4H4N2O2,Cytosol,3406
C01168,Pseudouridine 5'-phosphate,C9H13N2O9P,Cytosol,4395
C00355,"3,4-Dihydroxy-L-phenylalanine",C9H11NO4,Cytosol,3648
C17758,"4,5-seco-Dopa",C9H11NO6,Cytosol,96024085
C01586,Hippurate,C9H9NO3,Cytosol,4741
C00180,Benzoate,C7H6O2,Cytosol,3480
C21485,Cytidylyl molybdenum cofactor,C19H24MoN8O15P2S2,Cytosol,333497468
C00366,Urate,C5H4N4O3,Cytosol,3657
C00077,L-Ornithine,C5H12N2O2,Cytosol,3377
C00121,D-Ribose,C5H10O5,Cytosol,3421
C00673,2-Deoxy-D-ribose 5-phosphate,C5H11O7P,Cytosol,3942
C01801,Deoxyribose,C5H10O4,Cytosol,4927
C04039,"2,3-Dihydroxy-3-methylbutanoate",C5H10O4,Cytosol,6741
C04272,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H10O4,Cytosol,6935
C06007,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H12O4,Cytosol,8280
C00671,(S)-3-Methyl-2-oxopentanoic acid,C6H10O3,Cytosol,3940
C00378,Thiamine,C12H17N4OS,Cytosol,3668
C04294,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,Cytosol,6954
C20267,4-Amino-5-aminomethyl-2-methylpyrimidine,C6H10N4,Cytosol,163312007
C00032,Heme,C34H32FeN4O4,Cytosol,3334
C00448,"trans,trans-Farnesyl diphosphate",C15H28O7P2,Cytosol,3736
C15672,Heme O,C49H58FeN4O5,Cytosol,47204998
C01011,(3S)-Citramalyl-CoA,C26H42N7O20P3S,Cytosol,4256
C00490,Itaconate,C5H6O4,Cytosol,3773
C00531,Itaconyl-CoA,C26H40N7O19P3S,Cytosol,3813
C02614,(S)-2-Methylmalate,C5H8O5,Cytosol,5599
C02505,2-Phenylacetamide,C8H9NO,Cytosol,5517
C07086,Phenylacetic acid,C8H8O2,Cytosol,9297
C02693,(Indol-3-yl)acetamide,C10H10N2O,Cytosol,5661
C00954,Indole-3-acetate,C10H9NO2,Cytosol,4205
C03078,4-Guanidinobutanamide,C5H12N4O,Cytosol,5976
C01035,4-Guanidinobutanoate,C5H11N3O2,Cytosol,4278
C03620,Monocarboxylic acid amide,CH2NOR,Cytosol,6404
C00060,Carboxylate,CO2R,Cytosol,3360
C00511,Acrylic acid,C3H4O2,Cytosol,3794
C01659,Acrylamide,C3H5NO,Cytosol,4808
C09815,Benzamide,C7H7NO,Cytosol,12003
C02962,D-Allose 6-phosphate,C6H13O9P,Cytosol,5878
C18096,D-Allulose 6-phosphate,C6H13O9P,Cytosol,96024313
C00101,Tetrahydrofolate,C19H23N7O6,Cytosol,3401
C09332,THF-L-glutamate,C24H30N8O9,Cytosol,11523
C00415,Dihydrofolate,C19H21N7O6,Cytosol,3705
C03541,THF-polyglutamate,C24H30N8O9(C5H7NO3)n-2,Cytosol,6345
C11038,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate,C10H17N3O11P2,Cytosol,13221
C11039,2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate,C10H18N3O14P3,Cytosol,13222
C00454,NDP,C5H11O10P2R,Cytosol,3740
C00201,Nucleoside triphosphate,C5H12O13P3R,Cytosol,3501
C00104,IDP,C10H14N4O11P2,Cytosol,3404
C00131,dATP,C10H16N5O12P3,Cytosol,3431
C00286,dGTP,C10H16N5O13P3,Cytosol,3581
C00458,dCTP,C9H16N3O13P3,Cytosol,3742
C00460,dUTP,C9H15N2O14P3,Cytosol,3744
C01344,dIDP,C10H14N4O10P2,Cytosol,4549
C21748,5-Fluorouridine diphosphate,C9H13FN2O12P2,Cytosol,354264342
C21749,5-Fluorouridine triphosphate,C9H14FN2O15P3,Cytosol,354264343
C21750,5-Fluorodeoxyuridine diphosphate,C9H13FN2O11P2,Cytosol,354264344
C21751,5-Fluorodeoxyuridine triphosphate,C9H14FN2O14P3,Cytosol,354264345
C22442,dZDP,C10H16N6O9P2,Cytosol,497619801
C22443,dZTP,C10H17N6O12P3,Cytosol,497619802
C01996,Acetylcholine,C7H16NO2,Cytosol,5093
C03287,L-Glutamyl 5-phosphate,C5H10NO7P,Cytosol,6144
C01165,L-Glutamate 5-semialdehyde,C5H9NO3,Cytosol,4392
C01102,O-Phospho-L-homoserine,C4H10NO6P,Cytosol,4336
C06056,4-Hydroxy-L-threonine,C4H9NO4,Cytosol,8326
C06032,D-erythro-3-Methylmalate,C5H8O5,Cytosol,8304
C04411,"(2R,3S)-3-Isopropylmalate",C7H12O5,Cytosol,7045
C04236,(2S)-2-Isopropyl-3-oxosuccinate,C7H10O5,Cytosol,6905
C00233,4-Methyl-2-oxopentanoate,C6H10O3,Cytosol,3532
C04593,"(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate",C7H10O7,Cytosol,7191
C00311,Isocitrate,C6H8O7,Cytosol,3605
C18091,Ethylnitronate,C2H4NO2,Cytosol,96024308
C00084,Acetaldehyde,C2H4O,Cytosol,3384
C00061,FMN,C17H21N4O9P,Cytosol,3361
C00349,2-Methyl-3-oxopropanoate,C4H6O3,Cytosol,3642
C05668,3-Hydroxypropionyl-CoA,C24H40N7O18P3S,Cytosol,7976
C06000,(S)-3-Hydroxyisobutyryl-CoA,C25H42N7O18P3S,Cytosol,8274
C00224,Adenylyl sulfate,C10H14N5O10PS,Cytosol,3524
C00053,3'-Phosphoadenylyl sulfate,C10H15N5O13P2S,Cytosol,3355
C05686,Adenylylselenate,C10H14N5O10PSe,Cytosol,7993
C05696,3'-Phosphoadenylylselenate,C10H15N5O13P2Se,Cytosol,8003
C05697,Selenate,H2SeO4,Cytosol,8004
C00054,"Adenosine 3',5'-bisphosphate",C10H15N5O10P2,Cytosol,3356
C01528,Hydrogen selenide,H2Se,Cytosol,4690
C05684,Selenite,SeO3,Cytosol,7991
C00330,Deoxyguanosine,C10H13N5O4,Cytosol,3624
C00536,Triphosphate,H5P3O10,Cytosol,3818
C00195,N-Acylsphingosine,C19H36NO3R,Cytosol,3495
C00319,Sphingosine,C18H37NO2,Cytosol,3613
C12126,Dihydroceramide,C19H38NO3R,Cytosol,14273
C00836,Sphinganine,C18H39NO2,Cytosol,4094
C12145,Phytoceramide,C19H38NO4R,Cytosol,14292
C12144,Phytosphingosine,C18H39NO3,Cytosol,14291
C00683,(S)-Methylmalonyl-CoA,C25H40N7O19P3S,Cytosol,3952
C04419,Carboxybiotin-carboxyl-carrier protein,C18H26N5O6SR2,Cytosol,7051
C06250,Holo-[carboxylase],C17H27N5O4SR2,Cytosol,8489
C00173,Acyl-[acyl-carrier protein],C3H4OSR2,Cytosol,3473
C01209,Malonyl-[acyl-carrier protein],C3H3O3SR,Cytosol,4431
C00229,Acyl-carrier protein,HSR,Cytosol,3528
C03939,Acetyl-[acyl-carrier protein],C2H3OSR,Cytosol,6663
C05745,Butyryl-[acp],C4H7OSR,Cytosol,8040
C05749,Hexanoyl-[acp],C6H11OSR,Cytosol,8044
C05752,Octanoyl-[acp],C8H15OSR,Cytosol,8047
C05755,Decanoyl-[acp],C10H19OSR,Cytosol,8050
C05761,Tetradecanoyl-[acp],C14H27OSR,Cytosol,8056
C05764,Hexadecanoyl-[acp],C16H31OSR,Cytosol,8059
C19673,Malonyl-[acp] methyl ester,C4H5O3SR,Cytosol,135626141
C20375,Glutaryl-[acp] methyl ester,C6H9O3SR,Cytosol,163312113
C02247,Anthraniloyl-CoA,C28H41N8O17P3S,Cytosol,5310
C21873,2-Methylquinolin-4-ol,C10H9NO,Cytosol,
C00068,Thiamin diphosphate,C12H19N4O7P2S,Cytosol,3368
C05125,2-(alpha-Hydroxyethyl)thiamine diphosphate,C14H23N4O8P2S,Cytosol,7546
C15972,Enzyme N6-(lipoyl)lysine,C8H14NOS2R,Cytosol,47205285
C16255,[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,C10H18NO2S2R,Cytosol,47205563
C00353,Geranylgeranyl diphosphate,C20H36O7P2,Cytosol,3646
C04691,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H13O10P,Cytosol,7271
C01879,5-Oxoproline,C5H7NO3,Cytosol,4992
C06507,Adenosyl cobyrinate hexaamide,C55H77CoN15O11,Cytosol,8738
C04122,D-1-Aminopropan-2-ol O-phosphate,C3H10NO4P,Cytosol,6809
C06509,Adenosyl cobinamide phosphate,C58H85CoN16O14P,Cytosol,8740
C03194,(R)-1-Aminopropan-2-ol,C3H9NO,Cytosol,6071
C06508,Adenosyl cobinamide,C58H84CoN16O11,Cytosol,8739
C04778,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",C14H19N2O7P,Cytosol,7342
C05775,alpha-Ribazole,C14H18N2O4,Cytosol,8070
C00143,"5,10-Methylenetetrahydrofolate",C20H23N7O6,Cytosol,3443
C00966,2-Dehydropantoate,C6H10O4,Cytosol,4217
C16236,[Protein]-N6-(octanoyl)-L-lysine,C8H16NOR,Cytosol,47205544
C22154,[Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster,,Cytosol,405226345
C22150,Reduced [2Fe-2S] ferredoxin,,Cytosol,405226341
C16832,[Protein]-N6-[(R)-dihydrolipoyl]-L-lysine,C8H16NOS2R,Cytosol,96023356
C22155,[Fe-S] cluster scaffold protein,,Cytosol,405226346
C22151,Oxidized [2Fe-2S] ferredoxin,,Cytosol,405226342
C22160,[Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine,C8H16NOR,Cytosol,405226351
C15973,Enzyme N6-(dihydrolipoyl)lysine,C8H16NOS2R,Cytosol,47205286
C22159,[Glycine cleavage system H]-N6-octanoyl-L-lysine,C8H16NOR,Cytosol,405226350
C02972,Dihydrolipoylprotein,C8H16NOS2R,Cytosol,5884
C16240,[Lipoyl-carrier protein]-L-lysine,NH2R,Cytosol,47205548
C16239,Lipoyl-[acp],C8H13OS3R,Cytosol,47205547
C16237,Protein N6-(lipoyl)lysine,C8H14NOS2R,Cytosol,47205545
C22158,Lipoyl-carrier protein E2,NH2R,Cytosol,405226349
C22157,Glycine cleavage system H,NH2R,Cytosol,405226348
C00630,2-Methylpropanoyl-CoA,C25H42N7O17P3S,Cytosol,3903
C02939,3-Methylbutanoyl-CoA,C26H44N7O17P3S,Cytosol,5858
C00579,Dihydrolipoamide,C8H17NOS2,Cytosol,3858
C00248,Lipoamide,C8H15NOS2,Cytosol,3547
C00322,2-Oxoadipate,C6H8O5,Cytosol,3616
C00527,Glutaryl-CoA,C26H42N7O19P3S,Cytosol,3810
C15980,(S)-2-Methylbutanoyl-CoA,C26H44N7O17P3S,Cytosol,47205293
C02051,Lipoylprotein,C8H14NOS2R,Cytosol,5140
C00123,L-Leucine,C6H13NO2,Cytosol,3423
C00183,L-Valine,C5H11NO2,Cytosol,3483
C00407,L-Isoleucine,C6H13NO2,Cytosol,3697
C17211,2-Oxo-5-methylthiopentanoic acid,C6H10O3S,Cytosol,96023619
C17213,Homomethionine,C6H13NO2S,Cytosol,96023621
C00161,2-Oxo acid,C2HO3R,Cytosol,3461
C17216,2-Oxo-6-methylthiohexanoic acid,C7H12O3S,Cytosol,96023624
C17217,Dihomomethionine,C7H15NO2S,Cytosol,96023625
C02356,(S)-2-Aminobutanoate,C4H9NO2,Cytosol,5403
C00194,Cobamide coenzyme,C72H100CoN18O17P,Cytosol,3494
C06510,Adenosine-GDP-cobinamide,C68H97CoN21O21P2,Cytosol,8741
C21153,Adenosylcobalamin 5'-phosphate,C72H101CoN18O20P2,Cytosol,313369413
C00212,Adenosine,C10H13N5O4,Cytosol,3512
C00369,Starch,(C12H20O10)n,Cytosol,3659
C00721,Dextrin,(C12H20O10)n,Cytosol,3987
C00208,Maltose,C12H22O11,Cytosol,3508
C01935,Maltodextrin,H2O(C6H10O5)n,Cytosol,5040
C00021,S-Adenosyl-L-homocysteine,C14H20N6O5S,Cytosol,3323
C03172,S-Methyl-L-methionine,C6H14NO2S,Cytosol,6054
C04302,N-(5-Phospho-D-ribosyl)anthranilate,C12H16NO9P,Cytosol,6961
C00638,Long-chain fatty acid,C3H5O2R,Cytosol,3911
C02843,Long-chain acyl-CoA,C23H38N7O17P3S(CH2)2n,Cytosol,5783
C00249,Hexadecanoic acid,C16H32O2,Cytosol,3548
C00416,Phosphatidate,C5H7O8PR2,Cytosol,3706
C00681,1-Acyl-sn-glycerol 3-phosphate,C4H8O7PR,Cytosol,3950
C00040,Acyl-CoA,C22H35N7O17P3SR,Cytosol,3342
C01097,D-Tagatose 6-phosphate,C6H13O9P,Cytosol,4332
C03785,"D-Tagatose 1,6-bisphosphate",C6H14O12P2,Cytosol,6535
C16144,"4,4'-Diapophytoene",C30H48,Cytosol,47205454
C16145,"4,4'-Diaponeurosporene",C30H42,Cytosol,47205455
C19797,"4,4'-Diapolycopene",C30H40,Cytosol,135626264
C19840,"4,4'-Diapophytofluene",C30H46,Cytosol,135626307
C19841,"4,4'-Diapo-zeta-carotene",C30H44,Cytosol,135626308
C00440,5-Methyltetrahydrofolate,C20H25N7O6,Cytosol,3729
C01127,4-Hydroxy-2-oxoglutarate,C5H6O6,Cytosol,4358
C04442,2-Dehydro-3-deoxy-6-phospho-D-gluconate,C6H11O9P,Cytosol,7071
C00118,D-Glyceraldehyde 3-phosphate,C3H7O6P,Cytosol,3418
C17324,tRNA adenine,C10H14N5O7P(C5H8O6PR)n(C5H8O6PR)n,Cytosol,96023688
C04432,tRNA containing 6-isopentenyladenosine,C15H22N5O7P(C5H8O6PR)n(C5H8O6PR)n,Cytosol,7063
C00680,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,Cytosol,3949
C00842,dTDP-glucose,C16H26N2O16P2,Cytosol,4099
C02097,dTDP-galactose,C16H26N2O16P2,Cytosol,5181
C00177,Cyanide ion,CN,Cytosol,3477
C01755,Thiocyanate,CHNS,Cytosol,4888
C00957,Mercaptopyruvate,C3H4O3S,Cytosol,4208
C00404,Polyphosphate,H4P2O7(HPO3)n,Cytosol,3694
C01172,beta-D-Glucose 6-phosphate,C6H13O9P,Cytosol,4399
C01177,Inositol 1-phosphate,C6H13O9P,Cytosol,4404
C00137,myo-Inositol,C6H12O6,Cytosol,3437
C03546,myo-Inositol 4-phosphate,C6H13O9P,Cytosol,6349
C04006,1D-myo-Inositol 3-phosphate,C6H13O9P,Cytosol,6716
C04242,5-Fluorodeoxyuridine monophosphate,C9H12FN2O8P,Cytosol,6908
C01144,(S)-3-Hydroxybutanoyl-CoA,C25H42N7O18P3S,Cytosol,4375
C00877,Crotonoyl-CoA,C25H40N7O17P3S,Cytosol,4133
C05262,(S)-3-Hydroxydodecanoyl-CoA,C33H58N7O18P3S,Cytosol,7649
C03221,2-trans-Dodecenoyl-CoA,C33H56N7O17P3S,Cytosol,6094
C05258,(S)-3-Hydroxyhexadecanoyl-CoA,C37H66N7O18P3S,Cytosol,7645
C05259,3-Oxopalmitoyl-CoA,C37H64N7O18P3S,Cytosol,7646
C05272,trans-Hexadec-2-enoyl-CoA,C37H64N7O17P3S,Cytosol,7659
C05260,(S)-3-Hydroxytetradecanoyl-CoA,C35H62N7O18P3S,Cytosol,7647
C05261,3-Oxotetradecanoyl-CoA,C35H60N7O18P3S,Cytosol,7648
C05273,trans-Tetradec-2-enoyl-CoA,C35H60N7O17P3S,Cytosol,7660
C05263,3-Oxododecanoyl-CoA,C33H56N7O18P3S,Cytosol,7650
C05264,(S)-Hydroxydecanoyl-CoA,C31H54N7O18P3S,Cytosol,7651
C05265,3-Oxodecanoyl-CoA,C31H52N7O18P3S,Cytosol,7652
C05275,trans-Dec-2-enoyl-CoA,C31H52N7O17P3S,Cytosol,7662
C05266,(S)-3-Hydroxyoctanoyl-CoA,C29H50N7O18P3S,Cytosol,7653
C05267,3-Oxooctanoyl-CoA,C29H48N7O18P3S,Cytosol,7654
C05276,trans-Oct-2-enoyl-CoA,C29H48N7O17P3S,Cytosol,7663
C05268,(S)-Hydroxyhexanoyl-CoA,C27H46N7O18P3S,Cytosol,7655
C05271,trans-Hex-2-enoyl-CoA,C27H44N7O17P3S,Cytosol,7658
C16329,3-Hydroxy-OPC8-CoA,C39H64N7O19P3S,Cytosol,47205637
C16328,trans-2-Enoyl-OPC8-CoA,C39H62N7O18P3S,Cytosol,47205636
C16330,3-Oxo-OPC8-CoA,C39H62N7O19P3S,Cytosol,47205638
C16333,3-Hydroxy-OPC6-CoA,C37H60N7O19P3S,Cytosol,47205641
C16332,trans-2-Enoyl-OPC6-CoA,C37H58N7O18P3S,Cytosol,47205640
C16334,3-Oxo-OPC6-CoA,C37H58N7O19P3S,Cytosol,47205642
C16337,3-Hydroxy-OPC4-CoA,C35H56N7O19P3S,Cytosol,47205645
C16336,trans-2-Enoyl-OPC4-CoA,C35H54N7O18P3S,Cytosol,47205644
C16338,3-Oxo-OPC4-CoA,C35H54N7O19P3S,Cytosol,47205646
C03344,2-Methylacetoacetyl-CoA,C26H42N7O18P3S,Cytosol,6187
C01944,Octanoyl-CoA,C29H50N7O17P3S,Cytosol,5048
C01832,Lauroyl-CoA,C33H58N7O17P3S,Cytosol,4951
C02593,Tetradecanoyl-CoA,C35H62N7O17P3S,Cytosol,5585
C05337,Chenodeoxycholoyl-CoA,C45H74N7O19P3S,Cytosol,7715
C04644,"3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C48H80N7O19P3S,Cytosol,7233
C05274,Decanoyl-CoA,C31H54N7O17P3S,Cytosol,7661
C05270,Hexanoyl-CoA,C27H46N7O17P3S,Cytosol,7657
C16331,OPC6-CoA,C37H60N7O18P3S,Cytosol,47205639
C16335,OPC4-CoA,C35H56N7O18P3S,Cytosol,47205643
C16339,(+)-7-Isojasmonic acid CoA,C33H52N7O18P3S,Cytosol,47205647
C16169,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA",C43H66N7O17P3S,Cytosol,47205479
C16376,"(6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenoyl-CoA",C45H68N7O18P3S,Cytosol,47205684
C16173,"(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA",C43H68N7O17P3S,Cytosol,47205483
C16389,"(6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapentaenoyl-CoA",C45H70N7O18P3S,Cytosol,47205687
C01051,Uroporphyrinogen III,C40H44N4O16,Cytosol,4293
C03263,Coproporphyrinogen III,C36H44N4O8,Cytosol,6127
C05766,Uroporphyrinogen I,C40H44N4O16,Cytosol,8061
C05768,Coproporphyrinogen I,C36H44N4O8,Cytosol,8063
C01079,Protoporphyrinogen IX,C34H40N4O4,Cytosol,4317
C02191,Protoporphyrin,C34H34N4O4,Cytosol,5261
C05770,Coproporphyrin III,C36H38N4O8,Cytosol,8065
C21284,Fe-coproporphyrin III,C36H36FeN4O8,Cytosol,318172264
C01236,"D-Glucono-1,5-lactone 6-phosphate",C6H11O9P,Cytosol,4457
C05116,3-Hydroxybutanoyl-CoA,C25H42N7O18P3S,Cytosol,7540
C14145,(3S)-3-Hydroxyadipyl-CoA,C27H44N7O20P3S,Cytosol,7846957
C02232,3-Oxoadipyl-CoA,C27H42N7O20P3S,Cytosol,5296
C06752,"1,2-Dichloroethane",C2H4Cl2,Cytosol,8973
C06753,2-Chloroethanol,C2H5ClO,Cytosol,8974
C01327,Hydrochloric acid,HCl,Cytosol,4538
C06609,"trans-1,3-Dichloropropene",C3H4Cl2,Cytosol,8835
C06611,trans-3-Chloro-2-propene-1-ol,C3H5ClO,Cytosol,8837
C06610,"cis-1,3-Dichloropropene",C3H4Cl2,Cytosol,8836
C06612,cis-3-Chloro-2-propene-1-ol,C3H5ClO,Cytosol,8838
C06597,"1,3,4,6-Tetrachloro-1,4-cyclohexadiene",C6H4Cl4,Cytosol,8823
C06598,"2,4,5-Trichloro-2,5-cyclohexadiene-1-ol",C6H5Cl3O,Cytosol,8824
C06599,"2,5-Dichloro-2,5-cyclohexadiene-1,4-diol",C6H6Cl2O2,Cytosol,8825
C06988,"beta-1,2,3,4,5,6-Hexachlorocyclohexane",C6H6Cl6,Cytosol,9201
C16181,"beta-2,3,4,5,6-Pentachlorocyclohexanol",C6H7Cl5O,Cytosol,47205490
C16182,"beta-2,3,5,6-Tetrachloro-1,4-cyclohexanediol",C6H8Cl4O2,Cytosol,47205491
C04253,Electron-transferring flavoprotein,,Cytosol,6918
C04570,Reduced electron-transferring flavoprotein,,Cytosol,7171
C02411,Glutaconyl-1-CoA,C26H40N7O19P3S,Cytosol,5444
C06153,scyllo-Inositol,C6H12O6,Cytosol,8409
C00691,"2,4,6/3,5-Pentahydroxycyclohexanone",C6H10O6,Cytosol,3959
C00227,Acetyl phosphate,C2H5O5P,Cytosol,3527
C02876,Propanoyl phosphate,C3H7O5P,Cytosol,5809
C13635,4-Hydroxyphenacyl alcohol,C8H8O3,Cytosol,586251
C00156,4-Hydroxybenzoate,C7H6O3,Cytosol,3456
C02565,N-Methylhydantoin,C4H6N2O2,Cytosol,5563
C01043,N-Carbamoylsarcosine,C4H8N2O3,Cytosol,4285
C00794,D-Sorbitol,C6H14O6,Cytosol,4052
C00379,Xylitol,C5H12O5,Cytosol,3669
C11874,Kaur-16-en-18-oic acid,C20H30O2,Cytosol,14036
C11875,ent-7alpha-Hydroxykaur-16-en-19-oic acid,C20H30O3,Cytosol,14037
C06093,Gibberellin A12 aldehyde,C20H28O3,Cytosol,8359
C11876,"6beta,7beta-Dihydroxykaurenoic acid",C20H30O4,Cytosol,14038
C11857,Gibberellin A12,C20H28O4,Cytosol,14019
C00565,Trimethylamine,C3H9N,Cytosol,3844
C01104,Trimethylamine N-oxide,C3H9NO,Cytosol,4338
C00894,Propenoyl-CoA,C24H38N7O17P3S,Cytosol,4150
C03561,(R)-3-Hydroxybutanoyl-CoA,C25H42N7O18P3S,Cytosol,6354
C05998,3-Hydroxyisovaleryl-CoA,C26H44N7O18P3S,Cytosol,8272
C03069,3-Methylcrotonyl-CoA,C26H42N7O17P3S,Cytosol,5969
