Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID
C05711,gamma-Glutamyl-beta-cyanoalanine,C9H13N3O5,Cytosol,8018
C05670,3-Aminopropiononitrile,C3H6N2,Cytosol,7978
C06114,gamma-Glutamyl-beta-aminopropiononitrile,C8H13N3O3,Cytosol,8376
C05689,Se-Methyl-L-selenocysteine,C4H9NO2Se,Cytosol,7996
C05695,gamma-Glutamyl-Se-methylselenocysteine,C9H16N2O5Se,Cytosol,8002
C00670,sn-Glycero-3-phosphocholine,C8H21NO6P,Cytosol,3939
C00114,Choline,C5H14NO,Cytosol,3414
C00093,sn-Glycerol 3-phosphate,C3H9O6P,Cytosol,3393
C01233,sn-Glycero-3-phosphoethanolamine,C5H14NO6P,Cytosol,4454
C00189,Ethanolamine,C2H7NO,Cytosol,3489
C00007,Oxygen,O2,Cytosol,3309
C14818,Fe2+,Fe,Cytosol,17395816
C14819,Fe3+,Fe,Cytosol,17395817
C00062,L-Arginine,C6H14N4O2,Cytosol,3362
C00327,L-Citrulline,C6H13N3O3,Cytosol,3621
C00390,Ubiquinol,C14H20O4(C5H8)n,Cytosol,3680
C00399,Ubiquinone,C14H18O4(C5H8)n,Cytosol,3689
C00826,L-Arogenate,C10H13NO5,Cytosol,4084
C00079,L-Phenylalanine,C9H11NO2,Cytosol,3379
C00254,Prephenate,C10H10O6,Cytosol,3553
C00166,Phenylpyruvate,C9H8O3,Cytosol,3466
C00052,UDP-alpha-D-galactose,C15H24N2O17P2,Cytosol,3354
C03733,UDP-alpha-D-galactofuranose,C15H24N2O17P2,Cytosol,6496
C00935,UDP-L-arabinose,C14H22N2O16P2,Cytosol,4187
C18094,UDP-L-arabinofuranose,C14H22N2O16P2,Cytosol,96024311
G13125,Glycan,(UDP-Galf)1,Cytosol,
G13121,Glycan,(Galf)2 (GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol,
G10619,Glycan,(UDP)1,Cytosol,
G13122,Glycan,(Galf)3 (GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol,
C04895,"7,8-Dihydroneopterin 3'-triphosphate",C9H16N5O13P3,Cytosol,7446
C04874,"7,8-Dihydroneopterin",C9H13N5O4,Cytosol,7426
C00009,Orthophosphate,H3PO4,Cytosol,3311
G13119,Glycan,(GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol,
G13120,Glycan,(Galf)1 (GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol,
C00026,2-Oxoglutarate,C5H6O5,Cytosol,3328
C00082,L-Tyrosine,C9H11NO3,Cytosol,3382
C01179,3-(4-Hydroxyphenyl)pyruvate,C9H8O4,Cytosol,4406
C01100,L-Histidinol phosphate,C6H12N3O4P,Cytosol,4334
C01267,3-(Imidazol-4-yl)-2-oxopropyl phosphate,C6H9N2O5P,Cytosol,4486
C04431,cis-4-Carboxymethylenebut-2-en-4-olide,C6H4O4,Cytosol,7062
C02222,2-Maleylacetate,C6H6O5,Cytosol,5287
C07090,Protoanemonin,C5H4O2,Cytosol,9301
C07091,cis-Acetylacrylate,C5H6O3,Cytosol,9302
C04706,"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide",C6H3ClO4,Cytosol,7279
C06329,2-Chloromaleylacetate,C6H5ClO5,Cytosol,8565
C12834,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",C6H2Cl2O4,Cytosol,583223
C12835,"2,5-Dichloro-4-oxohex-2-enedioate",C6H4Cl2O5,Cytosol,583224
C12838,trans-4-Carboxymethylenebut-2-en-4-olide,C6H4O4,Cytosol,583227
C16477,5-Fluoromuconolactone,C6H5FO4,Cytosol,47205773
C16487,Hydrofluoric acid,HF,Cytosol,47205783
C16476,4-Fluoromuconolactone,C6H5FO4,Cytosol,47205772
C18242,"2,3,5-Trichlorodienelactone",C6HCl3O4,Cytosol,103061424
C18243,"2,3,5-Trichloromaleylacetate",C6H3Cl3O5,Cytosol,103061425
C18309,3-Chloro-2-methyldienelactone,C7H5ClO4,Cytosol,103061491
C18310,3-Chloro-2-methylmaleylacetate,C7H7ClO5,Cytosol,103061492
C18304,2-Chloro-5-methyl-cis-dienelactone,C7H5ClO4,Cytosol,103061486
C18305,2-Chloro-5-methylmaleylacetate,C7H7ClO5,Cytosol,103061487
C00002,ATP,C10H16N5O13P3,Cytosol,3304
C00164,Acetoacetate,C4H6O3,Cytosol,3464
C00010,CoA,C21H36N7O16P3S,Cytosol,3312
C00020,AMP,C10H14N5O7P,Cytosol,3322
C00013,Diphosphate,H4P2O7,Cytosol,3315
C00332,Acetoacetyl-CoA,C25H40N7O18P3S,Cytosol,3626
C02504,alpha-Isopropylmalate,C7H12O5,Cytosol,5516
C00024,Acetyl-CoA,C23H38N7O17P3S,Cytosol,3326
C00141,3-Methyl-2-oxobutanoic acid,C5H8O3,Cytosol,3441
C00049,L-Aspartate,C4H7NO4,Cytosol,3351
C00008,ADP,C10H15N5O10P2,Cytosol,3310
C03082,4-Phospho-L-aspartate,C4H8NO7P,Cytosol,5980
C00441,L-Aspartate 4-semialdehyde,C4H7NO3,Cytosol,3730
C00243,Lactose,C12H22O11,Cytosol,3542
C00267,alpha-D-Glucose,C6H12O6,Cytosol,3565
C00124,D-Galactose,C6H12O6,Cytosol,3424
C01290,Lactosylceramide,C31H56NO13R,Cytosol,4509
C01190,Glucosylceramide,C25H46NO8R,Cytosol,4416
C04911,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide,C56H96N3O31R,Cytosol,7461
C04884,N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide,C50H86N3O26R,Cytosol,7436
C06136,GA1,C45H79N2O23R,Cytosol,8393
C06135,GA2,C39H69N2O18R,Cytosol,8392
G00124,Glycan,(Gal)2 (GalNAc)1 (Glc)1 (Cer)1,Cytosol,
G00123,Glycan,(Gal)1 (GalNAc)1 (Glc)1 (Cer)1,Cytosol,
G00110,Glycan,(Gal)2 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1,Cytosol,
G00109,Glycan,(Gal)1 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1,Cytosol,
G01977,Glycan,(Gal)2 (GlcNAc)2 (S)2,Cytosol,
G13073,Glycan,(Gal)1 (GlcNAc)2 (S)2,Cytosol,
C00033,Acetate,C2H4O2,Cytosol,3335
C05993,Acetyl adenylate,C12H16N5O8P,Cytosol,8267
C00163,Propanoate,C3H6O2,Cytosol,3463
C00100,Propanoyl-CoA,C24H40N7O17P3S,Cytosol,3400
C05983,Propionyladenylate,C13H18N5O8P,Cytosol,8261
C00256,(R)-Lactate,C3H6O3,Cytosol,3555
C00357,N-Acetyl-D-glucosamine 6-phosphate,C8H16NO9P,Cytosol,3650
C16698,N-Acetylmuramic acid 6-phosphate,C11H20NO11P,Cytosol,51091020
C01674,Chitobiose,C16H28N2O11,Cytosol,4818
C00140,N-Acetyl-D-glucosamine,C8H15NO6,Cytosol,3440
G00711,Glycan,(GlcA)1 (GlcNAc)2,Cytosol,
G10008,Glycan,(GlcA)1 (GlcNAc)1,Cytosol,
C00130,IMP,C10H13N4O8P,Cytosol,3430
C00262,Hypoxanthine,C5H4N4O,Cytosol,3560
C00119,5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,Cytosol,3419
C00144,GMP,C10H14N5O8P,Cytosol,3444
C00242,Guanine,C5H5N5O,Cytosol,3541
C00655,Xanthosine 5'-phosphate,C10H13N4O9P,Cytosol,3925
