Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID,Canonical SMILES
C06114,gamma-Glutamyl-beta-aminopropiononitrile,C8H13N3O3,Cytosol,8376,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
C05689,Se-Methyl-L-selenocysteine,C4H9NO2Se,Cytosol,7996,CC(C)OCCO
C05695,gamma-Glutamyl-Se-methylselenocysteine,C9H16N2O5Se,Cytosol,8002,CCCCBr
C00670,sn-Glycero-3-phosphocholine,C8H21NO6P,Cytosol,3939,[Li+].[OH-]
C00114,Choline,C5H14NO,Cytosol,3414,C(=O)([O-])P(=O)([O-])[O-]
C00093,sn-Glycerol 3-phosphate,C3H9O6P,Cytosol,3393,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
C01233,sn-Glycero-3-phosphoethanolamine,C5H14NO6P,Cytosol,4454,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N
C00189,Ethanolamine,C2H7NO,Cytosol,3489,CC(C)(C)C1=NN=C(S1)NS(=O)(=O)C2=CC=CC=C2
C00007,Oxygen,O2,Cytosol,3309,CCN1C(C2=CC=CC=C2C1=O)NC3=CC=C(C=C3)OCCN4CCCCC4
C14818,Fe2+,Fe,Cytosol,17395816,CC1=CC(=NO1)NC(=O)C(C)OC2=CC=C(C=C2)I
C14819,Fe3+,Fe,Cytosol,17395817,CC1=CC2=C(C=C1C)OC=C2CC(=O)NC3=CC=NN3CC4=CC=CC=C4
C00062,L-Arginine,C6H14N4O2,Cytosol,3362,CCC(=O)C1=C(C=C(C=C1O)O)O
C00327,L-Citrulline,C6H13N3O3,Cytosol,3621,C[N+]1=CC=CC=C1C(=O)O
C00390,Ubiquinol,C14H20O4(C5H8)n,Cytosol,3680,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C
C00399,Ubiquinone,C14H18O4(C5H8)n,Cytosol,3689,CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3
C00826,L-Arogenate,C10H13NO5,Cytosol,4084,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=C)C(=O)O)C
C00079,L-Phenylalanine,C9H11NO2,Cytosol,3379,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
C00254,Prephenate,C10H10O6,Cytosol,3553,CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C
C00166,Phenylpyruvate,C9H8O3,Cytosol,3466,C1=CC(=CC=C1C2=COC3=CC(=O)C=C(C3=C2O)O)O
C00052,UDP-alpha-D-galactose,C15H24N2O17P2,Cytosol,3354,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4
C03733,UDP-alpha-D-galactofuranose,C15H24N2O17P2,Cytosol,6496,C=CS(=O)(=O)C=C
C00935,UDP-L-arabinose,C14H22N2O16P2,Cytosol,4187,CC1CC2=C(C(=CC(=C2C(N1)C)O)O)C3=CC(=C(C4=C3C=C(C=C4OC)C)O)C5=C(C6=C(C=C(C=C6OC)C)C(=C5)C7=C8CC(N(C(C8=C(C=C7O)O)C)C)C)O
C18094,UDP-L-arabinofuranose,C14H22N2O16P2,Cytosol,96024311,CCOC(=O)CCC1C2=C(CCN1)C=C(C(=C2)C)C
G13125,Glycan,(UDP-Galf)1,Cytosol,,
